x,y,yaw,left,right
-132.479088,22.334232,-0.000013,0.148148,0.148148
-132.479088,22.467564,-0.000053,0.221638,0.222806
-132.479112,22.689792,-0.000119,0.3694,0.371341
-132.47916,23.000904,-0.000212,0.517164,0.519873
-132.479268,23.4009,-0.00033,0.664933,0.668401
-132.479472,23.889792,-0.000474,0.812708,0.816922
-132.479796,24.467568,-0.000643,0.960489,0.965437
-132.480288,25.13424,-0.000836,1.10828,1.113942
-132.480996,25.889796,-0.001053,1.25608,1.262439
-132.481992,26.734236,-0.001294,1.403891,1.410924
-132.483324,27.667572,-0.001556,1.551714,1.559397
-132.485052,28.689792,-0.00184,1.699551,1.707856
-132.487272,29.800896,-0.002144,1.847403,1.8563
-132.490032,31.000896,-0.002466,1.995272,2.004728
-132.493428,32.28978,-0.002807,2.143158,2.153139
-132.497544,33.667548,-0.003165,2.291062,2.30153
-132.502464,35.134212,-0.003538,2.438987,2.449902
-132.508272,36.689748,-0.003924,2.586933,2.598252
-132.515052,38.33418,-0.004323,2.734902,2.746579
-132.5229,40.067496,-0.004732,2.882895,2.894883
-132.531912,41.889696,-0.005151,3.030913,3.043161
-132.54216,43.80078,-0.005576,3.178958,3.191412
-132.55374,45.800748,-0.006007,3.327031,3.339635
-132.566748,47.8896,-0.00644,3.475133,3.487829
-132.581256,50.067324,-0.006875,3.623266,3.635993
-132.597324,52.333932,-0.007308,3.771431,3.784125
-132.615048,54.689424,-0.007739,3.919628,3.932223
-132.634128,57.089352,-0.008155,3.993896,4.006103
-132.65418,59.489268,-0.008551,3.994212,4.005788
-132.675156,61.889172,-0.008925,3.994528,4.005472
-132.696996,64.289076,-0.009277,3.994844,4.005156
-132.719664,66.688968,-0.009607,3.99516,4.00484
-132.7431,69.088848,-0.009916,3.995475,4.004525
-132.767244,71.488728,-0.010204,3.995791,4.004209
-132.79206,73.888608,-0.01047,3.996107,4.003893
-132.817488,76.288464,-0.010714,3.996423,4.003577
-132.843468,78.688332,-0.010937,3.996738,4.003262
-132.869964,81.088176,-0.011138,3.997054,4.002946
-132.896916,83.488032,-0.011318,3.99737,4.00263
-132.924276,85.887876,-0.011476,3.997686,4.002314
-132.951984,88.287708,-0.011612,3.998001,4.001999
-132.979992,90.687552,-0.011727,3.998317,4.001683
-133.008252,93.087384,-0.011821,3.998633,4.001367
-133.036716,95.487216,-0.011893,3.998949,4.001051
-133.065324,97.887048,-0.011943,3.999264,4.000736
-133.094016,100.286868,-0.011972,3.99958,4.00042
-133.122768,102.6867,-0.011979,3.999896,4.000104
-133.151496,105.086532,-0.011964,4.000212,3.999788
