dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437549,13.625000,0.000199,0.019929,0.996441,49.822051,0.000013
0.020000,1.438157,13.625000,0.000807,0.030396,0.523336,-23.655269,0.000176
0.020000,1.439525,13.625001,0.002175,0.068383,1.899379,68.802169,0.000541
0.020000,1.441804,13.625002,0.004454,0.113951,2.278386,18.950347,0.001151
0.020000,1.444994,13.625008,0.007644,0.159487,2.276812,-0.078692,0.002005
0.020000,1.449093,13.625018,0.011743,0.204979,2.274610,-0.110119,0.003105
0.020000,1.454102,13.625037,0.016752,0.250415,2.271785,-0.141239,0.004451
0.020000,1.460017,13.625068,0.022667,0.295782,2.268341,-0.172186,0.006045
0.020000,1.466838,13.625115,0.029488,0.341067,2.264284,-0.202848,0.007887
0.020000,1.474563,13.625184,0.037214,0.386260,2.259621,-0.233158,0.009981
0.020000,1.483190,13.625281,0.045841,0.431347,2.254360,-0.263039,0.012326
0.020000,1.492715,13.625410,0.055367,0.476317,2.248512,-0.292407,0.014926
0.020000,1.503137,13.625581,0.065790,0.521159,2.242089,-0.321168,0.017782
0.020000,1.514452,13.625800,0.077107,0.565861,2.235106,-0.349126,0.020898
0.020000,1.526657,13.626075,0.089316,0.610413,2.227578,-0.376397,0.024274
0.020000,1.539749,13.626417,0.102412,0.654803,2.219529,-0.402473,0.027916
0.020000,1.553723,13.626835,0.116392,0.699023,2.210978,-0.427538,0.031824
0.020000,1.568576,13.627339,0.131253,0.743062,2.201955,-0.451179,0.036003
0.020000,1.584302,13.627940,0.146992,0.786912,2.192488,-0.473329,0.040455
0.020000,1.600898,13.628651,0.163603,0.830564,2.182616,-0.493591,0.045185
0.020000,1.618359,13.629484,0.181083,0.874012,2.172377,-0.511962,0.050194
0.020000,1.636678,13.630453,0.199428,0.917248,2.161818,-0.527956,0.055488
0.020000,1.655851,13.631572,0.218633,0.960268,2.150993,-0.541262,0.061070
0.020000,1.675871,13.632855,0.238695,1.003067,2.139960,-0.551650,0.066944
0.020000,1.696733,13.634318,0.259608,1.045643,2.128786,-0.558679,0.073113
0.020000,1.718429,13.635978,0.281368,1.087994,2.117547,-0.561927,0.079581
0.020000,1.740954,13.637851,0.303970,1.130120,2.106328,-0.560963,0.086352
0.020000,1.764300,13.639955,0.327410,1.172025,2.095223,-0.555258,0.093430
0.020000,1.788460,13.642309,0.351685,1.213711,2.084334,-0.544469,0.100820
0.020000,1.813426,13.644931,0.376788,1.255187,2.073779,-0.527742,0.108523
0.020000,1.839191,13.647843,0.402718,1.296461,2.063682,-0.504857,0.116544
0.020000,1.865747,13.651064,0.429469,1.337544,2.054184,-0.474876,0.124886
0.020000,1.893087,13.654617,0.457038,1.378453,2.045435,-0.437481,0.133553
0.020000,1.921201,13.658522,0.485422,1.419205,2.037599,-0.391767,0.142546
0.020000,1.950081,13.662805,0.514618,1.459822,2.030853,-0.337287,0.151868
0.020000,1.979720,13.667487,0.544625,1.500330,2.025387,-0.273322,0.161521
0.020000,2.010109,13.672594,0.575440,1.540758,2.021402,-0.199240,0.171507
0.020000,2.041240,13.678152,0.607063,1.581140,2.019111,-0.114569,0.181825
0.020000,2.073104,13.684186,0.639493,1.621515,2.018738,-0.018618,0.192477
0.020000,2.105693,13.690723,0.672731,1.661925,2.020516,0.088901,0.203462
0.020000,2.139000,13.697791,0.706780,1.702419,2.024686,0.208491,0.214777
0.020000,2.173016,13.705419,0.741641,1.743049,2.031491,0.340245,0.226422
0.020000,2.207735,13.713636,0.777318,1.783872,2.041178,0.484317,0.238392
0.020000,2.243148,13.722473,0.813817,1.824952,2.053991,0.640696,0.250683
0.020000,2.279249,13.731960,0.851144,1.866356,2.070171,0.808958,0.263290
0.020000,2.316032,13.742130,0.889308,1.908154,2.089944,0.988665,0.276205
0.020000,2.353491,13.753016,0.928316,1.950425,2.113525,1.179049,0.289422
0.020000,2.391620,13.764651,0.968181,1.993247,2.141106,1.379073,0.302929
0.020000,2.430415,13.777070,1.008915,2.036704,2.172855,1.587418,0.316717
0.020000,2.469870,13.790310,1.050533,2.080882,2.208904,1.802481,0.330773
0.020000,2.509983,13.804406,1.093050,2.125869,2.249351,2.022341,0.345082
0.020000,2.550750,13.819396,1.136485,2.171754,2.294249,2.244867,0.359631
0.020000,2.592167,13.835319,1.180858,2.218626,2.343601,2.467605,0.374401
0.020000,2.634233,13.852213,1.226189,2.266573,2.397359,2.687906,0.389374
0.020000,2.676945,13.870119,1.272503,2.315682,2.455418,2.902944,0.404531
0.020000,2.720302,13.889077,1.319823,2.366034,2.517614,3.109801,0.419849
0.020000,2.764303,13.909128,1.368178,2.417708,2.583723,3.305481,0.435307
0.020000,2.808946,13.930316,1.417593,2.470778,2.653464,3.487044,0.450880
0.020000,2.854230,13.952680,1.468099,2.525308,2.726497,3.651654,0.466543
0.020000,2.900155,13.976265,1.519726,2.581356,2.802431,3.796690,0.482271
0.020000,2.946720,14.001113,1.572506,2.638973,2.880828,3.919823,0.498036
0.020000,2.993923,14.027266,1.626470,2.698197,2.961209,4.019069,0.513810
0.020000,3.041763,14.054767,1.681651,2.759058,3.043067,4.092916,0.529566
0.020000,3.090238,14.083657,1.738083,2.821576,3.125874,4.140318,0.545275
0.020000,3.139347,14.113978,1.795798,2.885758,3.209089,4.160782,0.560908
0.020000,3.189087,14.145769,1.854830,2.951601,3.292177,4.154365,0.576438
0.020000,3.239456,14.179071,1.915212,3.019093,3.374610,4.121681,0.591835
0.020000,3.290450,14.213920,1.976976,3.088211,3.455888,4.063887,0.607072
0.020000,3.342065,14.250353,2.040154,3.158922,3.535541,3.982636,0.622122
0.020000,3.394299,14.288404,2.104778,3.231185,3.613141,3.880036,0.636957
0.020000,3.447146,14.328106,2.170877,3.304951,3.688313,3.758569,0.651552
0.020000,3.500603,14.369489,2.238480,3.380166,3.760733,3.621019,0.665883
0.020000,3.554666,14.412581,2.307616,3.456769,3.830141,3.470390,0.679925
0.020000,3.609330,14.457408,2.378310,3.534695,3.896338,3.309832,0.693655
0.020000,3.664592,14.503993,2.450587,3.613879,3.959188,3.142508,0.707052
0.020000,3.720448,14.552356,2.524472,3.694251,4.018620,2.971618,0.720096
0.020000,3.776897,14.602517,2.599987,3.775744,4.074624,2.800209,0.732768
0.020000,3.833935,14.654490,2.677153,3.858289,4.127248,2.631204,0.745049
0.020000,3.891563,14.708288,2.755989,3.941821,4.176595,2.467328,0.756922
0.020000,3.949781,14.763921,2.836515,4.026277,4.222816,2.311078,0.768371
0.020000,4.008590,14.821397,2.918747,4.111599,4.266110,2.164677,0.779382
0.020000,4.067995,14.880722,3.002701,4.197734,4.306712,2.030119,0.789941
0.020000,4.128002,14.941897,3.088394,4.284631,4.344894,1.909096,0.800035
0.020000,4.188617,15.004924,3.175839,4.372251,4.380956,1.803095,0.809651
0.020000,4.249852,15.069801,3.265050,4.460555,4.415222,1.713300,0.818777
0.020000,4.311718,15.136523,3.356041,4.549516,4.448037,1.640763,0.827402
0.020000,4.374231,15.205085,3.448823,4.639111,4.479763,1.586270,0.835516
0.020000,4.437408,15.275478,3.543409,4.729326,4.510773,1.550485,0.843107
0.020000,4.501272,15.347693,3.639812,4.820156,4.541451,1.533937,0.850165
0.020000,4.565846,15.421718,3.738044,4.911599,4.572192,1.537048,0.856680
0.020000,4.631159,15.497539,3.838118,5.003667,4.603396,1.560163,0.862641
0.020000,4.697243,15.575142,3.940045,5.096377,4.635467,1.603574,0.868037
0.020000,4.764133,15.654509,4.043840,5.189753,4.668818,1.667574,0.872856
0.020000,4.831869,15.735622,4.149517,5.283830,4.703867,1.752406,0.877086
0.020000,4.900496,15.818461,4.257090,5.378651,4.741034,1.858369,0.880715
0.020000,4.970062,15.903004,4.366575,5.474266,4.780749,1.985750,0.883728
0.020000,5.040622,15.989228,4.477990,5.570735,4.823447,2.134881,0.886112
0.020000,5.112234,16.077107,4.591352,5.668126,4.869569,2.306111,0.887851
0.020000,5.184839,16.166461,4.706485,5.756626,4.425004,-22.228220,0.888925
0.020000,5.258253,16.256947,4.823007,5.826089,3.473136,-47.593412,0.889321
0.020000,5.332185,16.348080,4.940358,5.867547,2.072918,-70.010915,0.889030
0.020000,5.406336,16.439365,5.057964,5.880315,0.638363,-71.727741,0.888059
0.020000,5.480505,16.530429,5.175411,5.872330,-0.399212,-51.878740,0.886421
0.020000,5.554593,16.621030,5.292447,5.851821,-1.025492,-31.314019,0.884135
0.020000,5.628625,16.711082,5.409024,5.828850,-1.148524,-6.151577,0.881216
0.020000,5.702643,16.800529,5.525124,5.805016,-1.191731,-2.160367,0.877681
0.020000,5.776688,16.889311,5.640732,5.780378,-1.231887,-2.007815,0.873542
0.020000,5.850799,16.977377,5.755832,5.754989,-1.269429,-1.877065,0.868812
0.020000,5.925014,17.064671,5.870410,5.728894,-1.304784,-1.767780,0.863504
0.020000,5.999366,17.151143,5.984452,5.702126,-1.338378,-1.679685,0.857630
0.020000,6.073889,17.236743,6.097946,5.674713,-1.370627,-1.612464,0.851199
0.020000,6.148613,17.321420,6.210880,5.646675,-1.401944,-1.565854,0.844223
0.020000,6.223566,17.405127,6.323240,5.618020,-1.432736,-1.539609,0.836713
0.020000,6.298774,17.487816,6.435015,5.588752,-1.463405,-1.533409,0.828679
0.020000,6.374259,17.569440,6.546193,5.558865,-1.494343,-1.546911,0.820132
0.020000,6.450041,17.649952,6.656759,5.528346,-1.525937,-1.579719,0.811082
0.020000,6.526136,17.729305,6.766703,5.497175,-1.558564,-1.631335,0.801541
0.020000,6.602559,17.807456,6.876009,5.465323,-1.592586,-1.701100,0.791520
0.020000,6.679319,17.884357,6.984665,5.432756,-1.628350,-1.788225,0.781032
0.020000,6.756423,17.959965,7.092653,5.399432,-1.666186,-1.891759,0.770090
0.020000,6.833873,18.034235,7.199959,5.365304,-1.706396,-2.010504,0.758707
0.020000,6.911669,18.107124,7.306566,5.330319,-1.749256,-2.143003,0.746898
0.020000,6.989805,18.178588,7.412454,5.294419,-1.795008,-2.287634,0.734679
0.020000,7.068272,18.248586,7.517605,5.257542,-1.843857,-2.442426,0.722067
0.020000,7.147056,18.317075,7.621997,5.219623,-1.895961,-2.605215,0.709079
0.020000,7.226139,18.384017,7.725609,5.180594,-1.951431,-2.773512,0.695736
