dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437580,11.295000,0.000199,0.019929,0.996441,49.822051,0.000013
0.020000,1.438567,11.295000,0.001186,0.049320,1.469546,23.655267,0.000176
0.020000,1.440786,11.295001,0.003405,0.110976,3.082826,80.663970,0.000541
0.020000,1.444486,11.295004,0.007105,0.184981,3.700259,30.871674,0.001151
0.020000,1.449666,11.295012,0.012285,0.259018,3.701835,0.078810,0.002005
0.020000,1.456328,11.295029,0.018947,0.333099,3.704035,0.109990,0.003105
0.020000,1.464473,11.295060,0.027092,0.407236,3.706860,0.141230,0.004451
0.020000,1.474101,11.295111,0.036721,0.481442,3.710303,0.172167,0.006045
0.020000,1.485216,11.295188,0.047835,0.555729,3.714360,0.202822,0.007887
0.020000,1.497817,11.295301,0.060438,0.630110,3.719022,0.233127,0.009981
0.020000,1.511908,11.295458,0.074529,0.704595,3.724282,0.263000,0.012326
0.020000,1.527491,11.295670,0.090113,0.779198,3.730129,0.292351,0.014926
0.020000,1.544567,11.295949,0.107192,0.853929,3.736551,0.321074,0.017782
0.020000,1.563140,11.296309,0.125768,0.928800,3.743535,0.349195,0.020898
0.020000,1.583211,11.296762,0.145844,1.003821,3.751058,0.376187,0.024274
0.020000,1.604784,11.297325,0.167424,1.079003,3.759108,0.402504,0.027916
0.020000,1.627861,11.298014,0.190512,1.154356,3.767657,0.427413,0.031824
0.020000,1.652444,11.298848,0.215109,1.229890,3.776679,0.451112,0.036003
0.020000,1.678537,11.299846,0.241222,1.305613,3.786142,0.473166,0.040455
0.020000,1.706143,11.301029,0.268852,1.381533,3.796015,0.493622,0.045185
0.020000,1.735263,11.302419,0.298005,1.457658,3.806251,0.511806,0.050194
0.020000,1.765900,11.304039,0.328685,1.533994,3.816806,0.527767,0.055488
0.020000,1.798056,11.305915,0.360896,1.610547,3.827630,0.541186,0.061070
0.020000,1.831733,11.308074,0.394643,1.687320,3.838660,0.551529,0.066944
0.020000,1.866933,11.310543,0.429929,1.764316,3.849831,0.558518,0.073113
0.020000,1.903657,11.313352,0.466760,1.841538,3.861066,0.561758,0.079581
0.020000,1.941904,11.316532,0.505139,1.918983,3.872281,0.560777,0.086352
0.020000,1.981676,11.320117,0.545072,1.996651,3.883385,0.555175,0.093430
0.020000,2.022971,11.324140,0.586563,2.074536,3.894268,0.544145,0.100820
0.020000,2.065788,11.328638,0.629616,2.152633,3.904821,0.527662,0.108523
0.020000,2.110125,11.333649,0.674234,2.230931,3.914912,0.504542,0.116544
0.020000,2.155977,11.339211,0.720423,2.309419,3.924407,0.474755,0.124886
0.020000,2.203341,11.345365,0.768184,2.388082,3.933150,0.437157,0.133553
0.020000,2.252209,11.352154,0.817522,2.466902,3.940982,0.391575,0.142546
