dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437565,12.460000,0.000199,0.019929,0.996441,49.822051,0.000013
0.020000,1.438362,12.460000,0.000996,0.059786,1.992882,49.822051,0.000176
0.020000,1.440156,12.460001,0.002790,0.119573,2.989323,49.822051,0.000541
0.020000,1.443145,12.460003,0.005779,0.179359,2.989323,0.000000,0.001151
0.020000,1.447330,12.460010,0.009964,0.239146,2.989323,-0.000000,0.002005
0.020000,1.452711,12.460024,0.015345,0.298932,2.989323,0.000000,0.003105
0.020000,1.459287,12.460048,0.021922,0.358719,2.989323,-0.000000,0.004451
0.020000,1.467059,12.460089,0.029694,0.418505,2.989323,-0.000000,0.006045
0.020000,1.476027,12.460152,0.038662,0.478292,2.989323,0.000000,0.007887
0.020000,1.486190,12.460242,0.048826,0.538078,2.989323,0.000000,0.009981
0.020000,1.497549,12.460369,0.060185,0.597865,2.989323,0.000000,0.012326
0.020000,1.510103,12.460540,0.072740,0.657651,2.989323,-0.000000,0.014926
0.020000,1.523852,12.460765,0.086491,0.717438,2.989323,0.000000,0.017782
0.020000,1.538796,12.461054,0.101438,0.777224,2.989323,-0.000000,0.020898
0.020000,1.554934,12.461419,0.117580,0.837010,2.989323,0.000000,0.024274
0.020000,1.572266,12.461871,0.134918,0.896797,2.989323,0.000000,0.027916
0.020000,1.590792,12.462425,0.153452,0.956583,2.989323,-0.000000,0.031824
0.020000,1.610510,12.463093,0.173181,1.016370,2.989323,0.000000,0.036003
0.020000,1.631420,12.463893,0.194107,1.076156,2.989323,-0.000000,0.040455
0.020000,1.653521,12.464840,0.216228,1.135943,2.989323,0.000000,0.045185
0.020000,1.676811,12.465952,0.239544,1.195729,2.989323,0.000000,0.050194
0.020000,1.701289,12.467246,0.264057,1.255516,2.989323,-0.000000,0.055488
0.020000,1.726954,12.468744,0.289765,1.315302,2.989323,0.000000,0.061070
0.020000,1.753802,12.470464,0.316669,1.375089,2.989323,0.000000,0.066944
0.020000,1.781833,12.472430,0.344769,1.434875,2.989323,0.000000,0.073113
0.020000,1.811043,12.474665,0.374064,1.494662,2.989323,-0.000000,0.079581
0.020000,1.841429,12.477191,0.404555,1.554448,2.989323,0.000000,0.086352
0.020000,1.872988,12.480036,0.436242,1.614234,2.989323,0.000000,0.093430
0.020000,1.905716,12.483224,0.469124,1.674021,2.989323,-0.000000,0.100820
0.020000,1.939607,12.486785,0.503203,1.733807,2.989323,0.000000,0.108523
0.020000,1.974658,12.490746,0.538477,1.793594,2.989323,0.000000,0.116544
0.020000,2.010862,12.495137,0.574946,1.853380,2.989323,-0.000000,0.124886
0.020000,2.048214,12.499991,0.612612,1.913167,2.989323,-0.000000,0.133553
0.020000,2.086705,12.505338,0.651473,1.972953,2.989323,0.000000,0.142546
0.020000,2.126329,12.511214,0.691530,2.032740,2.989323,0.000000,0.151868
0.020000,2.167076,12.517651,0.732783,2.092526,2.989323,0.000000,0.161521
0.020000,2.208937,12.524686,0.775231,2.152313,2.989323,-0.000000,0.171507
0.020000,2.251902,12.532357,0.818875,2.212099,2.989323,0.000000,0.181825
0.020000,2.295958,12.540699,0.863715,2.271886,2.989323,-0.000000,0.192477
0.020000,2.341094,12.549753,0.909751,2.331672,2.989323,0.000000,0.203462
0.020000,2.387297,12.559558,0.956982,2.391458,2.989323,-0.000000,0.214777
0.020000,2.434550,12.570155,1.005409,2.451245,2.989323,0.000000,0.226422
0.020000,2.482838,12.581584,1.055032,2.511031,2.989323,0.000000,0.238392
0.020000,2.532144,12.593887,1.105850,2.570818,2.989323,-0.000000,0.250683
0.020000,2.582450,12.607107,1.157864,2.630604,2.989323,0.000000,0.263290
0.020000,2.633736,12.621287,1.211074,2.690391,2.989323,0.000000,0.276205
0.020000,2.685980,12.636469,1.265480,2.750177,2.989323,-0.000000,0.289422
0.020000,2.739160,12.652697,1.321082,2.809964,2.989323,0.000000,0.302929
0.020000,2.793252,12.670014,1.377879,2.869750,2.989323,0.000000,0.316717
0.020000,2.848232,12.688462,1.435872,2.929537,2.989323,-0.000000,0.330773
0.020000,2.904072,12.708085,1.495060,2.989323,2.989323,0.000000,0.345082
0.020000,2.960746,12.728925,1.555444,3.049110,2.989323,0.000000,0.359631
0.020000,3.018225,12.751022,1.617024,3.108896,2.989323,-0.000000,0.374401
0.020000,3.076478,12.774417,1.679800,3.168682,2.989323,0.000000,0.389374
0.020000,3.135474,12.799149,1.743772,3.228469,2.989323,0.000000,0.404531
0.020000,3.195182,12.825257,1.808939,3.288255,2.989323,-0.000000,0.419849
0.020000,3.255570,12.852776,1.875302,3.348042,2.989323,0.000000,0.435307
0.020000,3.316603,12.881741,1.942861,3.407828,2.989323,0.000000,0.450880
