dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.441821,13.624999,0.003665,0.146603,2.932064,58.641280,6.282526
0.050000,1.455196,13.624976,0.017040,0.267502,2.417972,-10.281841,6.280483
0.050000,1.477490,13.624878,0.039335,0.445891,3.567783,22.996231,6.277076
0.050000,1.508707,13.624613,0.070552,0.624355,3.569285,0.030032,6.272301
0.050000,1.548848,13.624052,0.110698,0.802911,3.571110,0.036492,6.266156
0.050000,1.597916,13.623032,0.159776,0.981559,3.572972,0.037252,6.258634
0.050000,1.655906,13.621350,0.217790,1.160284,3.574498,0.030517,6.249734
0.050000,1.722808,13.618767,0.284742,1.339045,3.575217,0.014380,6.239454
0.050000,1.798604,13.615007,0.360631,1.517773,3.574561,-0.013128,6.227795
0.050000,1.883259,13.609760,0.445449,1.696366,3.571859,-0.054028,6.214763
0.050000,1.976726,13.602678,0.539184,1.874683,3.566347,-0.110248,6.200370
0.050000,2.078931,13.593384,0.641811,2.052542,3.557168,-0.183569,6.184635
0.050000,2.189778,13.581469,0.753296,2.229712,3.543399,-0.275388,6.167588
0.050000,2.309139,13.566500,0.873592,2.405915,3.524072,-0.386550,6.149270
0.050000,2.436850,13.548021,1.002633,2.580826,3.498218,-0.517069,6.129737
0.050000,2.572711,13.525566,1.140337,2.754072,3.464923,-0.665907,6.109060
0.050000,2.716477,13.498659,1.286599,2.925242,3.423388,-0.830704,6.087328
0.050000,2.867862,13.466832,1.441294,3.093892,3.373005,-1.007661,6.064650
0.050000,3.026536,13.429626,1.604272,3.259564,3.313431,-1.191478,6.041153
0.050000,3.192129,13.386608,1.775362,3.421796,3.244654,-1.375529,6.016985
0.050000,3.364235,13.337380,1.954369,3.580149,3.167044,-1.552194,5.992312
0.050000,3.542416,13.281591,2.141080,3.734217,3.081371,-1.713464,5.967319
0.050000,3.726215,13.218943,2.335263,3.883656,2.988788,-1.851674,5.942204
0.050000,3.915165,13.149202,2.536672,4.028195,2.890770,-1.960350,5.917177
0.050000,4.108801,13.072205,2.745055,4.167646,2.789019,-2.035013,5.892457
0.050000,4.306670,12.987861,2.960150,4.301912,2.685329,-2.073810,5.868266
0.050000,4.508348,12.896155,3.181700,4.430984,2.581436,-2.077862,5.844829
0.050000,4.713448,12.797149,3.409446,4.554928,2.478873,-2.051267,5.822364
0.050000,4.921631,12.690976,3.643139,4.673870,2.378835,-2.000753,5.801086
0.050000,5.132612,12.577844,3.882538,4.787974,2.282081,-1.935072,5.781204
0.050000,5.346166,12.458026,4.127409,4.897417,2.188870,-1.864233,5.762917
0.050000,5.562133,12.331863,4.377527,5.002364,2.098933,-1.798725,5.746418
0.050000,5.780419,12.199759,4.632674,5.102938,2.011492,-1.748831,5.731895
0.050000,6.000992,12.062184,4.892634,5.199203,1.925286,-1.724108,5.719534
0.050000,6.223882,11.919671,5.157191,5.291134,1.838634,-1.733057,5.709519
0.050000,6.449181,11.772823,5.426121,5.378609,1.749487,-1.782931,5.702042
0.050000,6.677029,11.622318,5.699191,5.461384,1.655507,-1.879603,5.697305
0.050000,6.907619,11.468916,5.976145,5.539091,1.554138,-2.027372,5.695525
0.050000,7.135571,11.317195,6.249973,5.476548,-1.250858,-56.099930,5.696868
0.050000,7.355363,11.171807,6.513499,5.270528,-4.120407,-57.390984,5.701200
0.050000,7.567146,11.033452,6.766469,5.059399,-4.222575,-2.043343,5.708301
0.050000,7.771395,10.902451,7.009119,4.853009,-4.127792,1.895658,5.717968
0.050000,7.968499,10.779033,7.241674,4.651101,-4.038160,1.792625,5.730007
0.050000,8.158767,10.663348,7.464351,4.453536,-3.951311,1.736987,5.744234
0.050000,8.342443,10.555468,7.677365,4.260278,-3.865156,1.723101,5.760462
0.050000,8.519716,10.455395,7.880934,4.071380,-3.777960,1.743921,5.778506
0.050000,8.690732,10.363065,8.075282,3.886960,-3.688404,1.791120,5.798172
0.050000,8.855598,10.278349,8.260641,3.707178,-3.595640,1.855278,5.819262
0.050000,9.014399,10.201060,8.437252,3.532211,-3.499331,1.926185,5.841568
0.050000,9.167197,10.130959,8.605363,3.362228,-3.399664,1.993342,5.864879
0.050000,9.314043,10.067760,8.765231,3.197361,-3.297333,2.046622,5.888973
0.050000,9.454978,10.011137,8.917115,3.037687,-3.193480,2.077049,5.913628
0.050000,9.590040,9.960732,9.061276,2.883207,-3.089602,2.077569,5.938621
0.050000,9.719262,9.916164,9.197968,2.733836,-2.987417,2.043694,5.963733
0.050000,9.842677,9.877033,9.327438,2.589400,-2.888723,1.973886,5.988752
0.050000,9.960315,9.842931,9.449919,2.449638,-2.795243,1.869605,6.013478
0.050000,10.072206,9.813447,9.565630,2.314214,-2.708492,1.735007,6.037724
0.050000,10.178376,9.788171,9.674767,2.182730,-2.629675,1.576346,6.061322
0.050000,10.278845,9.766703,9.777504,2.054749,-2.559616,1.401181,6.084121
0.050000,10.373633,9.748654,9.873995,1.929812,-2.498739,1.217535,6.105990
0.050000,10.462751,9.733649,9.964368,1.807458,-2.447083,1.033123,6.126819
0.050000,10.546209,9.721331,10.048730,1.687241,-2.404346,0.854745,6.146515
0.050000,10.624010,9.711362,10.127167,1.568743,-2.369951,0.687898,6.165005
0.050000,10.696154,9.703425,10.199746,1.451587,-2.343121,0.536595,6.182232
0.050000,10.762638,9.697225,10.266518,1.335439,-2.322952,0.403386,6.198152
0.050000,10.823454,9.692487,10.327519,1.220016,-2.308478,0.289476,6.212734
0.050000,10.878596,9.688962,10.382773,1.105079,-2.298729,0.194984,6.225956
0.050000,10.928053,9.686422,10.432295,0.990441,-2.292771,0.119160,6.237807
0.050000,10.971815,9.684665,10.476093,0.875954,-2.289738,0.060663,6.248280
0.050000,11.009873,9.683509,10.514168,0.761511,-2.288849,0.017764,6.257373
0.050000,11.042217,9.682799,10.546520,0.647040,-2.289423,-0.011471,6.265086
0.050000,11.068839,9.682401,10.573145,0.532496,-2.290875,-0.029045,6.271424
0.050000,11.089731,9.682208,10.594038,0.417860,-2.292723,-0.036947,6.276389
0.050000,11.104887,9.682132,10.609195,0.303131,-2.294577,-0.037091,6.279987
0.050000,11.114304,9.682112,10.618611,0.188324,-2.296142,-0.031293,6.282220
0.050000,11.117977,9.682110,10.622284,0.073464,-2.297206,-0.021278,6.283090
