dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.440284,11.294999,0.003665,0.146603,2.932064,58.641280,6.282526
0.050000,1.448899,11.294985,0.012280,0.172308,0.514090,-48.359471,6.280483
0.050000,1.463255,11.294921,0.026637,0.287125,2.296339,35.644973,6.277076
0.050000,1.483348,11.294751,0.046730,0.401866,2.294830,-0.030173,6.272301
0.050000,1.509171,11.294390,0.072556,0.516516,2.292996,-0.036683,6.266156
0.050000,1.540718,11.293734,0.104109,0.631072,2.291121,-0.037502,6.258634
0.050000,1.577980,11.292653,0.141387,0.745551,2.289580,-0.030822,6.249734
0.050000,1.620947,11.290994,0.184387,0.859993,2.288843,-0.014744,6.239454
0.050000,1.669611,11.288581,0.233110,0.974467,2.289479,0.012717,6.227795
0.050000,1.723960,11.285212,0.287564,1.089075,2.292157,0.053558,6.214763
0.050000,1.783986,11.280664,0.347762,1.203957,2.297644,0.109743,6.200370
0.050000,1.849680,11.274690,0.413726,1.319297,2.306795,0.183029,6.184635
0.050000,1.921035,11.267020,0.485493,1.435324,2.320537,0.274835,6.167588
0.050000,1.998047,11.257361,0.563108,1.552316,2.339837,0.386001,6.149270
0.050000,2.080716,11.245399,0.646638,1.670599,2.365665,0.516558,6.129737
0.050000,2.169045,11.230799,0.736166,1.790546,2.398938,0.665456,6.109060
0.050000,2.263041,11.213206,0.831794,1.912569,2.440456,0.830357,6.087328
0.050000,2.362717,11.192248,0.933650,2.037110,2.490828,1.007452,6.064650
0.050000,2.468091,11.167538,1.041881,2.164630,2.550401,1.191452,6.041153
0.050000,2.579182,11.138677,1.156661,2.295589,2.619186,1.375712,6.016985
0.050000,2.696017,11.105255,1.278182,2.430430,2.696817,1.552618,5.992312
0.050000,2.818624,11.066862,1.406660,2.569556,2.782524,1.714139,5.967319
0.050000,2.947034,11.023088,1.542326,2.713314,2.875154,1.852597,5.942204
0.050000,3.081279,10.973534,1.685424,2.861976,2.973229,1.961501,5.917177
0.050000,3.221392,10.917812,1.836211,3.015728,3.075047,2.036353,5.892457
0.050000,3.367410,10.855563,1.994944,3.174668,3.178811,2.075284,5.868266
0.050000,3.519375,10.786456,2.161885,3.338808,3.282781,2.079403,5.844829
0.050000,3.677334,10.710197,2.337288,3.508079,3.385421,2.052801,5.822364
0.050000,3.841350,10.626541,2.521406,3.682355,3.485532,2.002206,5.801086
0.050000,4.011501,10.535294,2.714480,3.861473,3.582350,1.936370,5.781204
