dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.441052,12.459999,0.003665,0.146603,2.932064,58.641280,6.282526
0.050000,1.452047,12.459980,0.014660,0.293206,2.932064,0.000000,6.280483
0.050000,1.470373,12.459900,0.032986,0.439810,2.932064,0.000000,6.277076
0.050000,1.496027,12.459682,0.058641,0.586413,2.932064,-0.000000,6.272301
0.050000,1.529010,12.459221,0.091627,0.733016,2.932064,0.000000,6.266156
0.050000,1.569317,12.458383,0.131943,0.879619,2.932064,-0.000000,6.258634
0.050000,1.616943,12.457002,0.179589,1.026222,2.932064,0.000000,6.249734
0.050000,1.671878,12.454881,0.234565,1.172826,2.932064,0.000000,6.239454
0.050000,1.734107,12.451794,0.296871,1.319429,2.932064,0.000000,6.227795
0.050000,1.803610,12.447486,0.366508,1.466032,2.932064,-0.000000,6.214763
0.050000,1.880356,12.441671,0.443475,1.612635,2.932064,0.000000,6.200370
0.050000,1.964305,12.434037,0.527772,1.759238,2.932064,-0.000000,6.184635
0.050000,2.055407,12.424245,0.619399,1.905842,2.932064,0.000000,6.167588
0.050000,2.153593,12.411930,0.718356,2.052445,2.932064,-0.000000,6.149270
0.050000,2.258783,12.396710,0.824643,2.199048,2.932064,0.000000,6.129737
0.050000,2.370878,12.378182,0.938260,2.345651,2.932064,-0.000000,6.109060
0.050000,2.489759,12.355933,1.059208,2.492254,2.932064,0.000000,6.087328
0.050000,2.615290,12.329540,1.187486,2.638858,2.932064,-0.000000,6.064650
0.050000,2.747313,12.298582,1.323094,2.785461,2.932064,0.000000,6.041153
0.050000,2.885656,12.262642,1.466032,2.932064,2.932064,0.000000,6.016985
0.050000,3.030126,12.221318,1.616300,3.078667,2.932064,0.000000,5.992312
0.050000,3.180520,12.174226,1.773899,3.225270,2.932064,-0.000000,5.967319
0.050000,3.336625,12.121016,1.938827,3.371874,2.932064,-0.000000,5.942204
0.050000,3.498222,12.061368,2.111086,3.518477,2.932064,0.000000,5.917177
0.050000,3.665096,11.995009,2.290675,3.665080,2.932064,0.000000,5.892457
0.050000,3.837040,11.921712,2.477594,3.811683,2.932064,-0.000000,5.868266
0.050000,4.013861,11.841305,2.671843,3.958286,2.932064,0.000000,5.844829
0.050000,4.195391,11.753673,2.873423,4.104890,2.932064,-0.000000,5.822364
0.050000,4.381490,11.658759,3.082332,4.251493,2.932064,0.000000,5.801086
0.050000,4.572056,11.556569,3.298572,4.398096,2.932064,0.000000,5.781204
0.050000,4.767029,11.447172,3.522142,4.544699,2.932064,-0.000000,5.762917
0.050000,4.966398,11.330701,3.753042,4.691302,2.932064,0.000000,5.746418
0.050000,5.170208,11.207355,3.991272,4.837906,2.932064,0.000000,5.731895
0.050000,5.378559,11.077398,4.236832,4.984509,2.932064,0.000000,5.719534
0.050000,5.591619,10.941168,4.489723,5.131112,2.932064,-0.000000,5.709519
0.050000,5.809619,10.799075,4.749944,5.277715,2.932064,0.000000,5.702042
0.050000,6.032862,10.651610,5.017494,5.424318,2.932064,0.000000,5.697305
0.050000,6.261725,10.499356,5.292375,5.570922,2.932064,-0.000000,5.695525
0.050000,6.490980,10.346769,5.567768,5.444766,-2.523108,-109.103444,5.696868
0.050000,6.714982,10.198597,5.836341,5.298163,-2.932064,-8.179115,5.701200
0.050000,6.933691,10.055720,6.097584,5.151560,-2.932064,-0.000000,5.708301
0.050000,7.147421,9.918641,6.351497,5.004957,-2.932064,0.000000,5.717968
0.050000,7.356415,9.787782,6.598080,4.858353,-2.932064,-0.000000,5.730007
0.050000,7.560846,9.663490,6.837332,4.711750,-2.932064,0.000000,5.744234
0.050000,7.760826,9.546038,7.069255,4.565147,-2.932064,-0.000000,5.760462
0.050000,7.956407,9.435637,7.293847,4.418544,-2.932064,0.000000,5.778506
0.050000,8.147585,9.332426,7.511109,4.271941,-2.932064,0.000000,5.798172
0.050000,8.334307,9.236485,7.721041,4.125337,-2.932064,-0.000000,5.819262
0.050000,8.516476,9.147828,7.923643,3.978734,-2.932064,0.000000,5.841568
0.050000,8.693958,9.066408,8.118914,3.832131,-2.932064,-0.000000,5.864879
0.050000,8.866588,8.992116,8.306856,3.685528,-2.932064,0.000000,5.888973
0.050000,9.034177,8.924789,8.487467,3.538925,-2.932064,0.000000,5.913628
0.050000,9.196518,8.864208,8.660748,3.392321,-2.932064,-0.000000,5.938621
0.050000,9.353397,8.810104,8.826699,3.245718,-2.932064,-0.000000,5.963733
0.050000,9.504597,8.762167,8.985320,3.099115,-2.932064,0.000000,5.988752
0.050000,9.649902,8.720047,9.136611,2.952512,-2.932064,0.000000,6.013478
0.050000,9.789107,8.683367,9.280571,2.805909,-2.932064,0.000000,6.037724
0.050000,9.922020,8.651726,9.417202,2.659305,-2.932064,-0.000000,6.061322
0.050000,10.048464,8.624710,9.546502,2.512702,-2.932064,0.000000,6.084121
0.050000,10.168279,8.601896,9.668472,2.366099,-2.932064,0.000000,6.105990
0.050000,10.281325,8.582863,9.783112,2.219496,-2.932064,-0.000000,6.126819
0.050000,10.387483,8.567195,9.890421,2.072893,-2.932064,0.000000,6.146515
0.050000,10.486651,8.554488,9.990401,1.926289,-2.932064,-0.000000,6.165005
0.050000,10.578743,8.544357,10.083050,1.779686,-2.932064,0.000000,6.182232
0.050000,10.663693,8.536434,10.168370,1.633083,-2.932064,0.000000,6.198152
0.050000,10.741446,8.530377,10.246359,1.486480,-2.932064,-0.000000,6.212734
