dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.440843,24.029000,0.003723,0.148936,2.978723,59.574468,0.000122
0.050000,1.451558,24.029004,0.014438,0.214288,1.307033,-33.433810,0.000513
0.050000,1.469417,24.029019,0.032296,0.357173,2.857712,31.013587,0.001164
0.050000,1.494421,24.029059,0.057301,0.500100,2.858525,0.016257,0.002073
0.050000,1.526576,24.029144,0.089456,0.643083,2.859665,0.022790,0.003238
0.050000,1.565882,24.029300,0.128763,0.786140,2.861132,0.029352,0.004654
0.050000,1.612346,24.029555,0.175227,0.929286,2.862930,0.035949,0.006320
0.050000,1.665971,24.029945,0.228854,1.072539,2.865059,0.042587,0.008229
0.050000,1.726764,24.030510,0.289650,1.215915,2.867522,0.049268,0.010376
0.050000,1.794731,24.031297,0.357621,1.359431,2.870322,0.055996,0.012757
0.050000,1.869879,24.032353,0.432776,1.503104,2.873461,0.062771,0.015363
0.050000,1.952215,24.033735,0.515124,1.646951,2.876940,0.069589,0.018188
0.050000,2.041747,24.035500,0.604673,1.790989,2.880763,0.076448,0.021222
0.050000,2.138484,24.037710,0.701435,1.935236,2.884930,0.083341,0.024459
0.050000,2.242434,24.040432,0.805421,2.079708,2.889443,0.090260,0.027886
0.050000,2.353606,24.043734,0.916642,2.224423,2.894302,0.097194,0.031495
0.050000,2.472010,24.047689,1.035112,2.369399,2.899509,0.104131,0.035274
0.050000,2.597655,24.052371,1.160844,2.514652,2.905062,0.111057,0.039211
0.050000,2.730552,24.057858,1.293854,2.660200,2.910960,0.117958,0.043293
0.050000,2.870710,24.064226,1.434157,2.806060,2.917200,0.124815,0.047508
0.050000,3.018140,24.071557,1.581770,2.952249,2.923781,0.131612,0.051840
0.050000,3.172853,24.079930,1.736709,3.098784,2.930698,0.138333,0.056275
0.050000,3.334859,24.089426,1.898993,3.245681,2.937946,0.144959,0.060798
0.050000,3.504169,24.100125,2.068641,3.392957,2.945519,0.151476,0.065392
0.050000,3.680795,24.112105,2.245672,3.540627,2.953413,0.157867,0.070040
0.050000,3.864747,24.125446,2.430107,3.688708,2.961619,0.164121,0.074725
0.050000,4.056038,24.140222,2.621968,3.837215,2.970130,0.170227,0.079428
0.050000,4.254680,24.156507,2.821276,3.986162,2.978939,0.176180,0.084131
0.050000,4.460685,24.174368,3.028055,4.135564,2.988038,0.181974,0.088814
0.050000,4.674067,24.193873,3.242326,4.285435,2.997419,0.187613,0.093457
0.050000,4.894840,24.215081,3.464116,4.435788,3.007074,0.193102,0.098039
0.050000,5.123019,24.238046,3.693448,4.586638,3.016996,0.198453,0.102539
0.050000,5.358621,24.262818,3.930347,4.737997,3.027181,0.203683,0.106935
0.050000,5.601661,24.289438,4.174841,4.889878,3.037621,0.208814,0.111205
0.050000,5.852160,24.317938,4.426956,5.042294,3.048315,0.213875,0.115325
0.050000,6.110137,24.348345,4.686719,5.195257,3.059260,0.218899,0.119272
0.050000,6.375615,24.380672,4.954158,5.348780,3.070456,0.223928,0.123023
0.050000,6.648618,24.414925,5.229302,5.502875,3.081907,0.229006,0.126552
0.050000,6.929174,24.451097,5.512179,5.657556,3.093616,0.234184,0.129834
0.050000,7.217311,24.489169,5.802821,5.812836,3.105592,0.239516,0.132845
0.050000,7.513063,24.529109,6.101258,5.968728,3.117845,0.245060,0.135556
0.050000,7.816465,24.570870,6.407520,6.125247,3.130389,0.250878,0.137943
0.050000,8.127556,24.614390,6.721640,6.282409,3.143240,0.257032,0.139976
0.050000,8.446379,24.659592,7.043652,6.440230,3.156419,0.263584,0.141628
0.050000,8.772981,24.706379,7.373588,6.598728,3.169949,0.270594,0.142870
0.050000,9.107413,24.754638,7.711484,6.757920,3.183855,0.278120,0.143671
0.050000,9.449731,24.804232,8.057376,6.917829,3.198166,0.286212,0.144002
0.050000,9.796303,24.854473,8.407571,7.003902,1.721456,-29.534191,0.143835
0.050000,10.143478,24.904651,8.758354,7.015654,0.235048,-29.728152,0.143163
0.050000,10.491282,24.954593,9.109724,7.027416,0.235246,0.003949,0.141986
0.050000,10.839739,25.004120,9.461684,7.039196,0.235590,0.006885,0.140304
0.050000,11.188877,25.053055,9.814234,7.051000,0.236075,0.009697,0.138115
0.050000,11.538719,25.101217,10.167376,7.062834,0.236692,0.012333,0.135418
0.050000,11.889290,25.148426,10.521111,7.074706,0.237429,0.014737,0.132212
0.050000,12.240613,25.194498,10.875442,7.086619,0.238271,0.016850,0.128494
0.050000,12.592709,25.239249,11.230371,7.098579,0.239202,0.018614,0.124263
0.050000,12.945599,25.282492,11.585901,7.110589,0.240200,0.019964,0.119516
