dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.441128,21.699000,0.003723,0.148936,2.978723,59.574468,0.000122
0.050000,1.452754,21.699004,0.015349,0.232521,1.671690,-26.140659,0.000513
0.050000,1.472130,21.699020,0.034725,0.387507,3.099734,28.560878,0.001164
0.050000,1.499252,21.699064,0.061847,0.542453,3.098921,-0.016262,0.002073
0.050000,1.534119,21.699157,0.096715,0.697343,3.097781,-0.022797,0.003238
0.050000,1.576727,21.699325,0.139323,0.852158,3.096313,-0.029360,0.004654
0.050000,1.627070,21.699601,0.189667,1.006884,3.094515,-0.035959,0.006320
0.050000,1.685144,21.700024,0.247742,1.161503,3.092386,-0.042598,0.008229
0.050000,1.750941,21.700636,0.313542,1.315999,3.089921,-0.049281,0.010376
0.050000,1.824454,21.701486,0.387060,1.470355,3.087121,-0.056010,0.012757
0.050000,1.905674,21.702628,0.468287,1.624554,3.083982,-0.062785,0.015363
0.050000,1.994590,21.704120,0.557216,1.778580,3.080502,-0.069604,0.018188
0.050000,2.091192,21.706024,0.653837,1.932413,3.076678,-0.076463,0.021222
0.050000,2.195467,21.708407,0.758139,2.086039,3.072511,-0.083356,0.024459
0.050000,2.307400,21.711338,0.870111,2.239439,3.067997,-0.090274,0.027886
0.050000,2.426977,21.714890,0.989741,2.392596,3.063137,-0.097207,0.031495
0.050000,2.554181,21.719138,1.117015,2.545492,3.057929,-0.104142,0.035274
0.050000,2.688993,21.724162,1.251921,2.698111,3.052376,-0.111067,0.039211
0.050000,2.831393,21.730041,1.394443,2.850435,3.046478,-0.117965,0.043293
0.050000,2.981361,21.736855,1.544565,3.002447,3.040237,-0.124820,0.047508
0.050000,3.138873,21.744687,1.702271,3.154130,3.033656,-0.131614,0.051840
0.050000,3.303905,21.753619,1.867545,3.305466,3.026740,-0.138332,0.056275
0.050000,3.476431,21.763731,2.040367,3.456441,3.019492,-0.144955,0.060798
0.050000,3.656424,21.775104,2.220719,3.607037,3.011918,-0.151468,0.065392
0.050000,3.843855,21.787818,2.408581,3.757238,3.004026,-0.157856,0.070040
0.050000,4.038694,21.801948,2.603932,3.907029,2.995820,-0.164106,0.074725
0.050000,4.240912,21.817568,2.806752,4.056395,2.987310,-0.170209,0.079428
0.050000,4.450475,21.834748,3.017018,4.205320,2.978502,-0.176157,0.084131
0.050000,4.667351,21.853552,3.234707,4.353790,2.969405,-0.181949,0.088814
0.050000,4.891506,21.874041,3.459797,4.501791,2.960025,-0.187584,0.093457
0.050000,5.122906,21.896269,3.692262,4.649310,2.950372,-0.193071,0.098039
0.050000,5.361517,21.920285,3.932079,4.796333,2.940451,-0.198419,0.102539
0.050000,5.607305,21.946127,4.179221,4.942846,2.930269,-0.203647,0.106935
0.050000,5.860234,21.973830,4.433663,5.088837,2.919830,-0.208777,0.111205
0.050000,6.120271,22.003416,4.695378,5.234294,2.909138,-0.213837,0.115325
0.050000,6.387382,22.034898,4.964338,5.379204,2.898195,-0.218862,0.119272
0.050000,6.661535,22.068282,5.240516,5.523554,2.887000,-0.223892,0.123023
0.050000,6.942697,22.103558,5.523882,5.667332,2.875552,-0.228973,0.126552
0.050000,7.230838,22.140708,5.814409,5.810524,2.863844,-0.234155,0.129834
0.050000,7.525930,22.179698,6.112064,5.953117,2.851869,-0.239493,0.132845
0.050000,7.827943,22.220483,6.416819,6.095098,2.839617,-0.245044,0.135556
0.050000,8.136853,22.263002,6.728642,6.236452,2.827074,-0.250871,0.137943
0.050000,8.452636,22.307179,7.047500,6.377163,2.814222,-0.257036,0.139976
0.050000,8.775271,22.352921,7.373361,6.517215,2.801042,-0.263602,0.141628
0.050000,9.104737,22.400119,7.706190,6.656591,2.787510,-0.270628,0.142870
0.050000,9.441017,22.448644,8.045954,6.795271,2.773602,-0.278173,0.143671
0.050000,9.784097,22.498349,8.392616,6.933235,2.759287,-0.286288,0.144002
0.050000,10.130283,22.548533,8.742421,6.996098,1.257268,-30.040378,0.143835
0.050000,10.475909,22.598488,9.091638,6.984346,-0.235053,-29.846433,0.143163
0.050000,10.820999,22.648040,9.440267,6.972583,-0.235257,-0.004068,0.141986
0.050000,11.165576,22.697016,9.788307,6.960803,-0.235607,-0.007004,0.140304
0.050000,11.509662,22.745243,10.135757,6.948998,-0.236098,-0.009817,0.138115
0.050000,11.853280,22.792548,10.482615,6.937162,-0.236721,-0.012454,0.135418
0.050000,12.196446,22.838760,10.828880,6.925288,-0.237464,-0.014860,0.132212
0.050000,12.539181,22.883706,11.174548,6.913373,-0.238312,-0.016975,0.128494
0.050000,12.881497,22.927215,11.519619,6.901410,-0.239249,-0.018740,0.124263
0.050000,13.223410,22.969113,11.864089,6.889398,-0.240254,-0.020091,0.119516
0.050000,13.564928,23.009229,12.207955,6.877333,-0.241302,-0.020964,0.114252
0.050000,13.906061,23.047391,12.551216,6.865214,-0.242367,-0.021289,0.108468
0.050000,14.246813,23.083425,12.893868,6.853043,-0.243416,-0.020994,0.102161
0.050000,14.587186,23.117161,13.235909,6.840823,-0.244417,-0.020006,0.095330
0.050000,14.927180,23.148424,13.577337,6.828556,-0.245329,-0.018249,0.087972
0.050000,15.266789,23.177044,13.918150,6.816251,-0.246111,-0.015646,0.080087
0.050000,15.606004,23.202849,14.258345,6.803915,-0.246717,-0.012119,0.071672
0.050000,15.944815,23.225667,14.597923,6.791560,-0.247097,-0.007593,0.062727
0.050000,16.283204,23.245327,14.936883,6.779200,-0.247197,-0.001997,0.053252
0.050000,16.621152,23.261661,15.275226,6.766852,-0.246960,0.004737,0.043247
