dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.440986,22.864000,0.003723,0.148936,2.978723,59.574468,0.000122
0.050000,1.452156,22.864004,0.014894,0.297872,2.978723,0.000000,0.000513
0.050000,1.470773,22.864019,0.033511,0.446809,2.978723,0.000000,0.001164
0.050000,1.496837,22.864062,0.059574,0.595745,2.978723,0.000000,0.002073
0.050000,1.530347,22.864151,0.093085,0.744681,2.978723,0.000000,0.003238
0.050000,1.571305,22.864312,0.134043,0.893617,2.978723,0.000000,0.004654
0.050000,1.619708,22.864578,0.182447,1.042553,2.978723,-0.000000,0.006320
0.050000,1.675558,22.864984,0.238298,1.191489,2.978723,0.000000,0.008229
0.050000,1.738853,22.865573,0.301596,1.340426,2.978723,0.000000,0.010376
0.050000,1.809593,22.866391,0.372340,1.489362,2.978723,-0.000000,0.012757
0.050000,1.887776,22.867491,0.450532,1.638298,2.978723,0.000000,0.015363
0.050000,1.973403,22.868928,0.536170,1.787234,2.978723,-0.000000,0.018188
0.050000,2.066470,22.870762,0.629255,1.936170,2.978723,0.000000,0.021222
0.050000,2.166975,22.873059,0.729787,2.085106,2.978723,-0.000000,0.024459
0.050000,2.274917,22.875885,0.837766,2.234043,2.978723,0.000000,0.027886
0.050000,2.390292,22.879312,0.953191,2.382979,2.978723,-0.000000,0.031495
0.050000,2.513095,22.883414,1.076064,2.531915,2.978723,0.000000,0.035274
0.050000,2.643324,22.888267,1.206383,2.680851,2.978723,0.000000,0.039211
0.050000,2.780973,22.893949,1.344149,2.829787,2.978723,-0.000000,0.043293
0.050000,2.926036,22.900541,1.489362,2.978723,2.978723,0.000000,0.047508
0.050000,3.078507,22.908122,1.642021,3.127660,2.978723,0.000000,0.051840
0.050000,3.238379,22.916774,1.802128,3.276596,2.978723,0.000000,0.056275
0.050000,3.405645,22.926578,1.969681,3.425532,2.978723,-0.000000,0.060798
0.050000,3.580296,22.937615,2.144681,3.574468,2.978723,0.000000,0.065392
0.050000,3.762325,22.949962,2.327128,3.723404,2.978723,0.000000,0.070040
0.050000,3.951721,22.963697,2.517021,3.872340,2.978723,0.000000,0.074725
0.050000,4.148475,22.978895,2.714362,4.021277,2.978723,0.000000,0.079428
0.050000,4.352577,22.995627,2.919149,4.170213,2.978723,-0.000000,0.084131
0.050000,4.564018,23.013960,3.131383,4.319149,2.978723,0.000000,0.088814
0.050000,4.782786,23.033957,3.351064,4.468085,2.978723,0.000000,0.093457
0.050000,5.008873,23.055675,3.578191,4.617021,2.978723,-0.000000,0.098039
0.050000,5.242268,23.079166,3.812766,4.765957,2.978723,0.000000,0.102539
0.050000,5.482963,23.104473,4.054787,4.914894,2.978723,0.000000,0.106935
0.050000,5.730948,23.131634,4.304255,5.063830,2.978723,-0.000000,0.111205
0.050000,5.986215,23.160677,4.561170,5.212766,2.978723,0.000000,0.115325
0.050000,6.248760,23.191622,4.825532,5.361702,2.978723,0.000000,0.119272
0.050000,6.518575,23.224477,5.097340,5.510638,2.978723,-0.000000,0.123023
0.050000,6.795658,23.259242,5.376596,5.659574,2.978723,0.000000,0.126552
0.050000,7.080006,23.295902,5.663298,5.808511,2.978723,0.000000,0.129834
0.050000,7.371620,23.334434,5.957447,5.957447,2.978723,-0.000000,0.132845
0.050000,7.670503,23.374796,6.259043,6.106383,2.978723,0.000000,0.135556
0.050000,7.976659,23.416936,6.568085,6.255319,2.978723,-0.000000,0.137943
0.050000,8.290096,23.460785,6.884574,6.404255,2.978723,0.000000,0.139976
0.050000,8.610825,23.506257,7.208511,6.553191,2.978723,0.000000,0.141628
0.050000,8.938859,23.553249,7.539894,6.702128,2.978723,0.000000,0.142870
0.050000,9.274215,23.601641,7.878723,6.851064,2.978723,-0.000000,0.143671
0.050000,9.616914,23.651291,8.225000,7.000000,2.978723,0.000000,0.144002
0.050000,9.963293,23.701503,8.575000,7.000000,0.000000,-59.574468,0.143835
0.050000,10.309694,23.751570,8.925000,7.000000,0.000000,0.000000,0.143163
0.050000,10.656140,23.801316,9.275000,7.000000,0.000000,0.000000,0.141986
0.050000,11.002658,23.850568,9.625000,7.000000,0.000000,0.000000,0.140304
0.050000,11.349270,23.899149,9.975000,7.000000,0.000000,0.000000,0.138115
0.050000,11.695999,23.946882,10.325000,7.000000,0.000000,0.000000,0.135418
0.050000,12.042868,23.993593,10.675000,7.000000,0.000000,0.000000,0.132212
0.050000,12.389897,24.039102,11.025000,7.000000,0.000000,0.000000,0.128494
0.050000,12.737103,24.083232,11.375000,7.000000,0.000000,0.000000,0.124263
0.050000,13.084504,24.125802,11.725000,7.000000,0.000000,0.000000,0.119516
0.050000,13.432114,24.166634,12.075000,7.000000,0.000000,0.000000,0.114252
0.050000,13.779944,24.205544,12.425000,7.000000,0.000000,0.000000,0.108468
0.050000,14.128003,24.242351,12.775000,7.000000,0.000000,0.000000,0.102161
0.050000,14.476295,24.276871,13.125000,7.000000,0.000000,0.000000,0.095330
0.050000,14.824824,24.308919,13.475000,7.000000,0.000000,0.000000,0.087972
0.050000,15.173587,24.338310,13.825000,7.000000,0.000000,0.000000,0.080087
0.050000,15.522578,24.364858,14.175000,7.000000,0.000000,0.000000,0.071672
0.050000,15.871786,24.388376,14.525000,7.000000,0.000000,0.000000,0.062727
0.050000,16.221195,24.408676,14.875000,7.000000,0.000000,0.000000,0.053252
0.050000,16.570786,24.425572,15.225000,7.000000,0.000000,0.000000,0.043247
0.050000,16.920531,24.438877,15.575000,7.000000,0.000000,0.000000,0.032713
0.050000,17.270399,24.448405,15.925000,7.000000,0.000000,0.000000,0.021653
0.050000,17.620353,24.453972,16.275000,7.000000,0.000000,0.000000,0.010071
0.050000,17.970348,24.455394,16.625000,7.000000,0.000000,0.000000,6.281156
0.050000,18.320334,24.452492,16.975000,7.000000,0.000000,0.000000,6.268544
0.050000,18.670253,24.445087,17.325000,7.000000,0.000000,0.000000,6.255428
0.050000,19.018198,24.433083,17.673155,6.926197,-1.476065,-29.521302,6.241890
0.050000,19.360385,24.416593,18.015741,6.777261,-2.978723,-30.053166,6.228101
0.050000,19.694878,24.395824,18.350881,6.628324,-2.978723,0.000000,6.214175
0.050000,20.021622,24.370947,18.678574,6.479388,-2.978723,0.000000,6.200153
0.050000,20.340568,24.342152,18.998820,6.330452,-2.978723,-0.000000,6.186077
0.050000,20.651671,24.309640,19.311619,6.181516,-2.978723,0.000000,6.171984
0.050000,20.954890,24.273628,19.616971,6.032580,-2.978723,-0.000000,6.157915
0.050000,21.250191,24.234344,19.914877,5.883644,-2.978723,0.000000,6.143905
0.050000,21.537548,24.192026,20.205336,5.734707,-2.978723,0.000000,6.129990
0.050000,21.816940,24.146918,20.488348,5.585771,-2.978723,-0.000000,6.116204
0.050000,22.088353,24.099272,20.763913,5.436835,-2.978723,0.000000,6.102579
0.050000,22.351779,24.049344,21.032031,5.287899,-2.978723,0.000000,6.089143
0.050000,22.607220,23.997393,21.292703,5.138963,-2.978723,-0.000000,6.075925
0.050000,22.854681,23.943681,21.545927,4.990027,-2.978723,0.000000,6.062950
0.050000,23.094175,23.888468,21.791705,4.841090,-2.978723,0.000000,6.050241
0.050000,23.325722,23.832014,22.030037,4.692154,-2.978723,-0.000000,6.037820
0.050000,23.549346,23.774576,22.260921,4.543218,-2.978723,0.000000,6.025706
0.050000,23.765078,23.716408,22.484358,4.394282,-2.978723,0.000000,6.013916
0.050000,23.972952,23.657759,22.700349,4.245346,-2.978723,0.000000,6.002465
0.050000,24.173008,23.598872,22.908893,4.096410,-2.978723,-0.000000,5.991367
0.050000,24.365289,23.539986,23.109990,3.947473,-2.978723,0.000000,5.980632
0.050000,24.549842,23.481330,23.303640,3.798537,-2.978723,-0.000000,5.970271
0.050000,24.726714,23.423127,23.489844,3.649601,-2.978723,0.000000,5.960292
0.050000,24.895958,23.365594,23.668600,3.500665,-2.978723,-0.000000,5.950702
0.050000,25.057627,23.308936,23.839910,3.351729,-2.978723,0.000000,5.941506
0.050000,25.211793,23.253455,24.003773,3.202792,-2.978723,0.000000,5.940456
0.050000,25.359870,23.203077,24.160189,3.053856,-2.978723,0.000000,5.966856
0.050000,25.501687,23.157475,24.309159,2.904920,-2.978723,-0.000000,5.974478
0.050000,25.636394,23.114086,24.450681,2.755984,-2.978723,0.000000,5.966145
0.050000,25.763365,23.071030,24.584757,2.607048,-2.978723,-0.000000,5.944020
0.050000,25.882087,23.027002,24.711386,2.458112,-2.978723,0.000000,5.909903
0.050000,25.992108,22.981203,24.830568,2.309175,-2.978723,0.000000,5.865516
0.050000,26.093038,22.933297,24.942304,2.160239,-2.978723,-0.000000,5.812738
0.050000,26.184588,22.883381,25.046592,2.011303,-2.978723,0.000000,5.753740
0.050000,26.266613,22.831931,25.143434,1.862367,-2.978723,0.000000,5.690974
0.050000,26.339162,22.779726,25.232829,1.713431,-2.978723,0.000000,5.627014
0.050000,26.402497,22.727745,25.314777,1.564495,-2.978723,0.000000,5.564310
0.050000,26.457081,22.677056,25.389278,1.415558,-2.978723,-0.000000,5.504933
0.050000,26.503529,22.628706,25.456333,1.266622,-2.978723,0.000000,5.450429
0.050000,26.542547,22.583650,25.515941,1.117686,-2.978723,0.000000,5.401784
0.050000,26.574863,22.542711,25.568102,0.968750,-2.978723,-0.000000,5.359505
0.050000,26.601175,22.506561,25.612816,0.819814,-2.978723,0.000000,5.323738
0.050000,26.622114,22.475734,25.650083,0.670878,-2.978723,0.000000,5.294408
0.050000,26.638217,22.450636,25.679903,0.521941,-2.978723,0.000000,5.271321
0.050000,26.649918,22.431566,25.702277,0.373005,-2.978723,0.000000,5.254251
0.050000,26.657544,22.418735,25.717204,0.224069,-2.978723,0.000000,5.242992
0.050000,26.661311,22.412272,25.724684,0.075133,-2.978723,0.000000,5.237390
0.050000,26.662252,22.410646,25.726562,0.000000,-1.502658,29.521302,5.235988
0.050000,26.662252,22.410646,25.726562,0.000000,0.000000,30.053166,5.235988
