dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437583,24.029000,0.000199,0.019943,0.997151,49.857550,0.000007
0.020000,1.438305,24.029000,0.000922,0.036108,0.808254,-9.444834,0.000072
0.020000,1.439930,24.029000,0.002546,0.081245,2.256839,72.429233,0.000218
0.020000,1.442638,24.029001,0.005255,0.135413,2.708417,22.578878,0.000461
0.020000,1.446430,24.029004,0.009047,0.189589,2.708797,0.019040,0.000801
0.020000,1.451306,24.029009,0.013922,0.243776,2.709331,0.026703,0.001238
0.020000,1.457265,24.029018,0.019882,0.297976,2.710019,0.034404,0.001772
0.020000,1.464309,24.029032,0.026925,0.352193,2.710863,0.042162,0.002402
0.020000,1.472438,24.029055,0.035054,0.406431,2.711862,0.049982,0.003128
0.020000,1.481651,24.029087,0.044268,0.460691,2.713020,0.057879,0.003950
0.020000,1.491951,24.029133,0.054567,0.514978,2.714337,0.065871,0.004866
0.020000,1.503337,24.029194,0.065953,0.569294,2.715816,0.073954,0.005878
0.020000,1.515809,24.029274,0.078426,0.623643,2.717459,0.082146,0.006983
0.020000,1.529369,24.029377,0.091987,0.678029,2.719269,0.090460,0.008182
0.020000,1.544018,24.029506,0.106636,0.732454,2.721247,0.098900,0.009474
0.020000,1.559756,24.029666,0.122374,0.786922,2.723396,0.107475,0.010857
0.020000,1.576583,24.029861,0.139203,0.841436,2.725720,0.116190,0.012332
0.020000,1.594502,24.030096,0.157123,0.896000,2.728221,0.125063,0.013897
0.020000,1.613512,24.030376,0.176135,0.950618,2.730903,0.134090,0.015552
0.020000,1.633615,24.030707,0.196241,1.005294,2.733768,0.143277,0.017295
0.020000,1.654812,24.031093,0.217442,1.060030,2.736821,0.152633,0.019126
0.020000,1.677104,24.031540,0.239738,1.114832,2.740064,0.162160,0.021043
0.020000,1.700493,24.032056,0.263133,1.169702,2.743502,0.171866,0.023045
0.020000,1.724978,24.032646,0.287625,1.224644,2.747136,0.181741,0.025131
0.020000,1.750563,24.033317,0.313219,1.279664,2.750972,0.191797,0.027300
0.020000,1.777247,24.034076,0.339914,1.334764,2.755013,0.202030,0.029550
0.020000,1.805033,24.034929,0.367713,1.389949,2.759262,0.212436,0.031879
0.020000,1.833922,24.035885,0.396617,1.445224,2.763722,0.223022,0.034287
0.020000,1.863915,24.036952,0.426629,1.500592,2.768398,0.233774,0.036771
0.020000,1.895013,24.038136,0.457750,1.556057,2.773291,0.244690,0.039330
0.020000,1.927219,24.039445,0.489983,1.611626,2.778407,0.255773,0.041962
0.020000,1.960534,24.040889,0.523329,1.667301,2.783747,0.267002,0.044666
0.020000,1.994959,24.042476,0.557791,1.723087,2.789315,0.278382,0.047439
0.020000,2.030497,24.044214,0.593370,1.778989,2.795113,0.289900,0.050279
0.020000,2.067148,24.046111,0.630071,1.835012,2.801143,0.301538,0.053185
0.020000,2.104914,24.048178,0.667894,1.891160,2.807409,0.313299,0.056154
0.020000,2.143798,24.050423,0.706843,1.947438,2.813912,0.325159,0.059184
0.020000,2.183802,24.052856,0.746920,2.003851,2.820655,0.337114,0.062273
0.020000,2.224926,24.055485,0.788128,2.060404,2.827638,0.349139,0.065417
0.020000,2.267173,24.058321,0.830470,2.117101,2.834862,0.361231,0.068616
0.020000,2.310544,24.061372,0.873949,2.173948,2.842330,0.373368,0.071866
0.020000,2.355043,24.064649,0.918568,2.230949,2.850040,0.385532,0.075164
0.020000,2.400670,24.068162,0.964330,2.288109,2.857994,0.397712,0.078508
0.020000,2.447428,24.071921,1.011239,2.345433,2.866192,0.409885,0.081895
0.020000,2.495318,24.075934,1.059297,2.402925,2.874633,0.422037,0.085323
0.020000,2.544344,24.080213,1.108509,2.460592,2.883316,0.434148,0.088787
0.020000,2.594506,24.084767,1.158878,2.518436,2.892240,0.446200,0.092285
0.020000,2.645808,24.089607,1.210407,2.576464,2.901403,0.458177,0.095815
0.020000,2.698251,24.094741,1.263101,2.634681,2.910805,0.470058,0.099372
0.020000,2.751837,24.100181,1.316962,2.693089,2.920441,0.481828,0.102953
0.020000,2.806569,24.105936,1.371996,2.751696,2.930310,0.493468,0.106556
0.020000,2.862450,24.112015,1.428206,2.810504,2.940410,0.504963,0.110176
0.020000,2.919480,24.118430,1.485597,2.869518,2.950736,0.516297,0.113810
0.020000,2.977664,24.125188,1.544172,2.928744,2.961285,0.527453,0.117454
0.020000,3.037003,24.132300,1.603935,2.988185,2.972053,0.538423,0.121105
0.020000,3.097500,24.139775,1.664892,3.047846,2.983037,0.549189,0.124759
0.020000,3.159157,24.147622,1.727047,3.107731,2.994232,0.559742,0.128412
0.020000,3.221978,24.155851,1.790404,3.167843,3.005633,0.570074,0.132060
0.020000,3.285963,24.164469,1.854967,3.228188,3.017237,0.580176,0.135699
0.020000,3.351118,24.173486,1.920743,3.288769,3.029038,0.590043,0.139325
0.020000,3.417444,24.182910,1.987735,3.349589,3.041031,0.599672,0.142934
0.020000,3.484943,24.192748,2.055948,3.410654,3.053212,0.609059,0.146522
0.020000,3.553620,24.203009,2.125387,3.471965,3.065576,0.618207,0.150085
0.020000,3.623478,24.213700,2.196057,3.533528,3.078119,0.627117,0.153618
0.020000,3.694518,24.224827,2.267964,3.595344,3.090835,0.635795,0.157116
0.020000,3.766746,24.236398,2.341113,3.657419,3.103720,0.644249,0.160576
0.020000,3.840163,24.248419,2.415508,3.719754,3.116769,0.652487,0.163994
0.020000,3.914774,24.260896,2.491155,3.782354,3.129980,0.660523,0.167363
0.020000,3.990583,24.273833,2.568059,3.845221,3.143347,0.668372,0.170681
0.020000,4.067592,24.287236,2.646226,3.908358,3.156868,0.676050,0.173941
0.020000,4.145807,24.301110,2.725662,3.971769,3.170540,0.683577,0.177140
0.020000,4.225230,24.315457,2.806371,4.035456,3.184359,0.690975,0.180273
0.020000,4.305867,24.330282,2.888359,4.099422,3.198325,0.698268,0.183335
0.020000,4.387722,24.345587,2.971633,4.163671,3.212434,0.705482,0.186321
0.020000,4.470800,24.361373,3.056197,4.228205,3.226687,0.712644,0.189226
0.020000,4.555105,24.377643,3.142057,4.293026,3.241083,0.719786,0.192046
0.020000,4.640642,24.394398,3.229220,4.358139,3.255622,0.726938,0.194775
0.020000,4.727417,24.411636,3.317691,4.423545,3.270304,0.734133,0.197408
0.020000,4.815436,24.429358,3.407476,4.489248,3.285132,0.741406,0.199940
0.020000,4.904704,24.447562,3.498581,4.555250,3.300108,0.748792,0.202366
0.020000,4.995227,24.466245,3.591012,4.621554,3.315235,0.756326,0.204681
0.020000,5.087012,24.485405,3.684775,4.688165,3.330516,0.764045,0.206880
0.020000,5.180065,24.505037,3.779877,4.755084,3.345955,0.771986,0.208957
0.020000,5.274393,24.525137,3.876323,4.822315,3.361559,0.780184,0.210907
0.020000,5.370005,24.545699,3.974121,4.889862,3.377333,0.788676,0.212724
0.020000,5.466906,24.566716,4.073275,4.957727,3.393282,0.797495,0.214404
0.020000,5.565106,24.588179,4.173794,5.025916,3.409416,0.806676,0.215940
0.020000,5.664613,24.610081,4.275682,5.094431,3.425741,0.816248,0.217327
0.020000,5.765435,24.632410,4.378948,5.163276,3.442266,0.826242,0.218559
0.020000,5.867583,24.655157,4.483597,5.232456,3.458999,0.836682,0.219630
0.020000,5.971064,24.678308,4.589636,5.301975,3.475951,0.847590,0.220535
0.020000,6.075890,24.701850,4.697073,5.371837,3.493131,0.858985,0.221268
0.020000,6.182070,24.725768,4.805914,5.442048,3.510548,0.870877,0.221823
0.020000,6.289616,24.750046,4.916166,5.512613,3.528214,0.883275,0.222193
0.020000,6.398539,24.774667,5.027837,5.583535,3.546138,0.896177,0.222373
0.020000,6.508850,24.799610,5.140933,5.654822,3.564329,0.909575,0.222356
0.020000,6.620563,24.824857,5.255463,5.726478,3.582798,0.923452,0.222137
0.020000,6.733688,24.850385,5.371433,5.798509,3.601554,0.937780,0.221707
0.020000,6.848241,24.876170,5.488852,5.870921,3.620604,0.952520,0.221062
0.020000,6.964233,24.902186,5.607726,5.943720,3.639956,0.967620,0.220194
0.020000,7.081680,24.928408,5.728064,6.016913,3.659617,0.983014,0.219097
0.020000,7.200595,24.954806,5.849874,6.090504,3.679589,0.998619,0.217763
0.020000,7.320994,24.981350,5.973164,6.164502,3.699876,1.014333,0.216186
0.020000,7.442891,25.008007,6.097943,6.238911,3.720477,1.030035,0.214359
0.020000,7.566303,25.034742,6.224217,6.313739,3.741388,1.045582,0.212274
0.020000,7.691246,25.061519,6.351997,6.388991,3.762604,1.060805,0.209925
0.020000,7.817736,25.088299,6.481291,6.464674,3.784114,1.075509,0.207303
0.020000,7.945789,25.115040,6.612106,6.540792,3.805904,1.089467,0.204402
0.020000,8.075423,25.141700,6.744453,6.617351,3.827952,1.102423,0.201214
0.020000,8.206655,25.168233,6.878341,6.694355,3.850234,1.114081,0.197730
0.020000,8.339502,25.194590,7.013777,6.771810,3.872716,1.124111,0.193944
0.020000,8.473981,25.220721,7.150771,6.849717,3.895359,1.132141,0.189848
0.020000,8.610110,25.246572,7.289333,6.928079,3.918114,1.137753,0.185433
0.020000,8.747905,25.272086,7.429471,7.006898,3.940924,1.140486,0.180693
0.020000,8.887385,25.297205,7.571194,7.086172,3.963720,1.139828,0.175619
0.020000,9.028565,25.321866,7.714512,7.165901,3.986425,1.135219,0.170203
0.020000,9.171463,25.346005,7.859434,7.246079,4.008946,1.126047,0.164437
0.020000,9.315885,25.369520,8.005758,7.316209,3.506454,-25.124552,0.158324
0.020000,9.461429,25.392280,8.153071,7.365656,2.472387,-51.703369,0.151875
0.020000,9.607685,25.414162,8.300955,7.394205,1.427423,-52.248216,0.145107
0.020000,9.754446,25.435083,8.449199,7.412205,0.900011,-26.370577,0.138031
0.020000,9.901709,25.454989,8.597802,7.430135,0.896494,-0.175869,0.130646
0.020000,10.049472,25.473830,8.746761,7.447976,0.892058,-0.221778,0.122955
0.020000,10.197731,25.491554,8.896076,7.465708,0.886613,-0.272276,0.114960
0.020000,10.346479,25.508108,9.045742,7.483310,0.880065,-0.327396,0.106662
0.020000,10.495708,25.523441,9.195757,7.500756,0.872322,-0.387128,0.098065
0.020000,10.645410,25.537500,9.346117,7.518022,0.863294,-0.451410,0.089172
0.020000,10.795572,25.550235,9.496819,7.535080,0.852891,-0.520130,0.079985
0.020000,10.946183,25.561592,9.647857,7.551900,0.841029,-0.593103,0.070510
0.020000,11.097226,25.571523,9.799226,7.568453,0.827627,-0.670098,0.060751
0.020000,11.248684,25.579976,9.950920,7.584705,0.812612,-0.750798,0.050712
0.020000,11.400539,25.586902,10.102933,7.600623,0.795915,-0.834823,0.040401
0.020000,11.552768,25.592252,10.255256,7.616173,0.777481,-0.921712,0.029822
0.020000,11.705349,25.595979,10.407882,7.631318,0.757262,-1.010947,0.018983
0.020000,11.858256,25.598037,10.560803,7.646023,0.735224,-1.101907,0.007892
0.020000,11.995897,25.598612,10.698446,6.882145,-38.193896,-1946.455965,0.009863
0.020000,12.099806,25.601278,10.802388,5.197136,-84.250433,-2302.826853,0.040810
0.020000,12.206825,25.607191,10.909571,5.359125,8.099425,4617.492863,0.068976
0.020000,12.316847,25.616230,11.019963,5.519606,8.024049,-3.768794,0.094388
0.020000,12.429751,25.628244,11.133505,5.677097,7.874551,-7.474895,0.117097
0.020000,12.545419,25.643060,11.250118,5.830668,7.678585,-9.798302,0.137170
0.020000,12.663741,25.660480,11.369715,5.979850,7.459077,-10.975372,0.154682
0.020000,12.784620,25.680288,11.492206,6.124535,7.234270,-11.240384,0.169710
0.020000,12.907977,25.702257,11.617504,6.264899,7.018180,-10.804478,0.182329
0.020000,13.033755,25.726144,11.745531,6.401324,6.821256,-9.846203,0.192606
0.020000,13.161919,25.751698,11.876217,6.534345,6.651061,-8.509754,0.200600
0.020000,13.292456,25.778658,12.009509,6.664603,6.512908,-6.907627,0.206358
0.020000,13.425375,25.806756,12.145366,6.792811,6.410396,-5.125644,0.209915
0.020000,13.560706,25.835712,12.283760,6.919728,6.345820,-3.228776,0.211293
0.020000,13.698501,25.865238,12.424683,7.046137,6.320478,-1.267128,0.210501
0.020000,13.838831,25.895029,12.568140,7.172834,6.334843,0.718253,0.207533
0.020000,13.981782,25.924771,12.714152,7.300607,6.388639,2.689808,0.202373
0.020000,14.127457,25.954128,12.862756,7.430223,6.480798,4.607977,0.194987
0.020000,14.275974,25.982742,13.014004,7.562409,6.609312,6.425674,0.185331
0.020000,14.427457,26.010232,13.167961,7.697828,6.770963,8.082544,0.173350
0.020000,14.582034,26.036185,13.324702,7.837047,6.960943,9.499033,0.158979
0.020000,14.739834,26.060155,13.484312,7.980494,7.172352,10.570456,0.142145
0.020000,14.900974,26.081655,13.646880,8.128406,7.395586,11.161697,0.122771
0.020000,15.065552,26.100159,13.812495,8.280759,7.617661,11.103719,0.100781
0.020000,15.233634,26.115095,13.981239,8.437190,7.821539,10.193890,0.076105
0.020000,15.405235,26.125849,14.153177,8.596902,7.985599,8.203044,0.048685
0.020000,15.580307,26.131764,14.328348,8.758571,8.083458,4.892940,0.018490
0.020000,15.758711,26.132153,14.506754,8.920260,8.084420,0.048107,6.268702
0.020000,15.940205,26.126314,14.688341,9.079358,7.954909,-6.475578,6.232997
0.020000,16.124414,26.113547,14.872992,9.232581,7.661173,-14.686789,6.194659
0.020000,16.310827,26.093189,15.060513,9.376049,7.173416,-24.387856,6.153858
0.020000,16.498781,26.064645,15.250623,9.505472,6.471117,-35.114927,6.110833
0.020000,16.687476,26.027432,15.442952,9.616448,5.548796,-46.116066,6.065901
0.020000,16.875990,25.981213,15.637049,9.704866,4.420893,-56.395145,6.019451
0.020000,17.063322,25.925832,15.832396,9.767348,3.124140,-64.837657,5.971927
0.020000,17.248439,25.861327,16.028429,9.801669,1.716020,-70.405983,5.923813
0.020000,17.430334,25.787941,16.224570,9.807046,0.268848,-72.358604,5.875607
0.020000,17.608080,25.706094,16.420255,9.784253,-1.139618,-70.423318,5.827793
0.020000,17.780882,25.616364,16.614966,9.735516,-2.436878,-64.862972,5.780816
0.020000,17.948104,25.519432,16.808250,9.664215,-3.565031,-56.407659,5.735064
0.020000,18.109285,25.416045,16.999740,9.574482,-4.486645,-46.080732,5.690853
0.020000,18.264141,25.306968,17.189155,9.470757,-5.186269,-34.981160,5.648425
0.020000,18.412543,25.192946,17.376303,9.357395,-5.668083,-24.090721,5.607944
0.020000,18.554503,25.074682,17.561070,9.238373,-5.951095,-14.150612,5.569507
0.020000,18.690138,24.952813,17.743412,9.117104,-6.063479,-5.619197,5.533153
0.020000,18.819646,24.827908,17.923339,8.996357,-6.037354,1.306281,5.498873
0.020000,18.932169,24.713587,18.083747,8.020375,-48.799109,-2138.087754,5.481234
0.020000,19.042695,24.597325,18.244162,8.020742,0.018380,2440.874451,5.463708
0.020000,19.151454,24.478783,18.405036,8.043733,1.149541,56.558024,5.445788
0.020000,19.258346,24.357955,18.566360,8.066203,1.123506,-1.301753,5.427483
0.020000,19.363268,24.234838,18.728121,8.088001,1.089904,-1.680085,5.408802
0.020000,19.466115,24.109441,18.890300,8.108967,1.048300,-2.080206,5.389762
0.020000,19.566782,23.981777,19.052879,8.128934,0.998340,-2.498017,5.370379
0.020000,19.665161,23.851870,19.215833,8.147729,0.939771,-2.928441,5.350673
0.020000,19.761146,23.719753,19.379137,8.165179,0.872456,-3.365747,5.330668
0.020000,19.854633,23.585468,19.542759,8.181107,0.796404,-3.802575,5.310389
0.020000,19.945518,23.449067,19.706666,8.195342,0.711773,-4.231587,5.289866
0.020000,20.033703,23.310611,19.870820,8.207720,0.618886,-4.644320,5.269130
0.020000,20.119093,23.170171,20.035182,8.218085,0.518247,-5.031986,5.248216
0.020000,20.201599,23.027828,20.199708,8.226295,0.410527,-5.385996,5.227161
0.020000,20.281140,22.883672,20.364352,8.232227,0.296570,-5.697841,5.206004
0.020000,20.357642,22.737799,20.529068,8.235774,0.177376,-5.959674,5.184787
0.020000,20.431039,22.590317,20.693805,8.236856,0.054082,-6.164696,5.163550
0.020000,20.501277,22.441335,20.858513,8.235415,-0.072067,-6.307461,5.142339
0.020000,20.568311,22.290973,21.023141,8.231420,-0.199745,-6.383918,5.121196
