dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437601,21.699000,0.000199,0.019943,0.997151,49.857550,0.000007
0.020000,1.438474,21.699000,0.001073,0.043664,1.186048,9.444836,0.000072
0.020000,1.440439,21.699000,0.003038,0.098242,2.728916,77.143411,0.000218
0.020000,1.443713,21.699001,0.006312,0.163732,3.274490,27.278679,0.000461
0.020000,1.448298,21.699004,0.010896,0.229214,3.274109,-0.019048,0.000801
0.020000,1.454191,21.699010,0.016790,0.294686,3.273574,-0.026704,0.001238
0.020000,1.461394,21.699021,0.023993,0.360143,3.272886,-0.034408,0.001772
0.020000,1.469906,21.699039,0.032505,0.425584,3.272043,-0.042163,0.002402
0.020000,1.479726,21.699066,0.042325,0.491005,3.271043,-0.049988,0.003128
0.020000,1.490854,21.699105,0.053453,0.556403,3.269886,-0.057889,0.003950
0.020000,1.503289,21.699160,0.065888,0.621774,3.268568,-0.065871,0.004866
0.020000,1.517031,21.699234,0.079631,0.687116,3.267089,-0.073960,0.005878
0.020000,1.532080,21.699331,0.094679,0.752425,3.265446,-0.082156,0.006983
0.020000,1.548433,21.699455,0.111033,0.817698,3.263636,-0.090467,0.008182
0.020000,1.566091,21.699611,0.128692,0.882931,3.261658,-0.098906,0.009474
0.020000,1.585052,21.699804,0.147654,0.948121,3.259509,-0.107481,0.010857
0.020000,1.605316,21.700039,0.167920,1.013265,3.257185,-0.116205,0.012332
0.020000,1.626882,21.700321,0.189487,1.078358,3.254683,-0.125070,0.013897
0.020000,1.649747,21.700658,0.212355,1.143398,3.252001,-0.134096,0.015552
0.020000,1.673911,21.701055,0.236522,1.208381,3.249135,-0.143288,0.017295
0.020000,1.699373,21.701519,0.261988,1.273303,3.246083,-0.152646,0.019126
0.020000,1.726131,21.702056,0.288752,1.338160,3.242839,-0.162174,0.021043
0.020000,1.754183,21.702675,0.316810,1.402948,3.239402,-0.171871,0.023045
0.020000,1.783528,21.703382,0.346164,1.467663,3.235767,-0.181754,0.025131
0.020000,1.814163,21.704185,0.376810,1.532302,3.231930,-0.191808,0.027300
0.020000,1.846088,21.705093,0.408747,1.596859,3.227890,-0.202040,0.029550
0.020000,1.879299,21.706113,0.441974,1.661332,3.223641,-0.212451,0.031879
0.020000,1.913794,21.707255,0.476488,1.725716,3.219180,-0.223030,0.034287
0.020000,1.949572,21.708527,0.512288,1.790006,3.214504,-0.233783,0.036771
0.020000,1.986629,21.709937,0.549372,1.854198,3.209610,-0.244704,0.039330
0.020000,2.024963,21.711496,0.587738,1.918288,3.204495,-0.255778,0.041962
0.020000,2.064571,21.713213,0.627383,1.982271,3.199154,-0.267016,0.044666
0.020000,2.105451,21.715097,0.668306,2.046143,3.193587,-0.278391,0.047439
0.020000,2.147598,21.717158,0.710504,2.109899,3.187788,-0.289904,0.050279
0.020000,2.191011,21.719406,0.753975,2.173534,3.181757,-0.301551,0.053185
0.020000,2.235685,21.721851,0.798716,2.237043,3.175491,-0.313304,0.056154
0.020000,2.281617,21.724503,0.844724,2.300423,3.168988,-0.325168,0.059184
0.020000,2.328803,21.727372,0.891997,2.363668,3.162246,-0.337116,0.062273
0.020000,2.377239,21.730469,0.940533,2.426773,3.155263,-0.349148,0.065417
0.020000,2.426922,21.733803,0.990327,2.489734,3.148038,-0.361234,0.068616
0.020000,2.477847,21.737386,1.041378,2.552546,3.140571,-0.373369,0.071866
0.020000,2.530010,21.741228,1.093682,2.615203,3.132860,-0.385536,0.075164
0.020000,2.583406,21.745339,1.147236,2.677701,3.124906,-0.397712,0.078508
0.020000,2.638031,21.749730,1.202037,2.740035,3.116708,-0.409886,0.081895
0.020000,2.693879,21.754410,1.258081,2.802200,3.108267,-0.422035,0.085323
0.020000,2.750946,21.759391,1.315365,2.864192,3.099584,-0.434145,0.088787
0.020000,2.809226,21.764682,1.373885,2.926005,3.090660,-0.446197,0.092285
0.020000,2.868715,21.770294,1.433638,2.987635,3.081497,-0.458170,0.095815
0.020000,2.929406,21.776236,1.494619,3.049077,3.072096,-0.470051,0.099372
0.020000,2.991295,21.782518,1.556826,3.110326,3.062460,-0.481819,0.102953
0.020000,3.054374,21.789151,1.620253,3.171378,3.052590,-0.493458,0.106556
0.020000,3.118640,21.796143,1.684898,3.232228,3.042491,-0.504952,0.110176
0.020000,3.184085,21.803503,1.750755,3.292871,3.032166,-0.516282,0.113810
0.020000,3.250703,21.811241,1.817822,3.353304,3.021617,-0.527441,0.117454
0.020000,3.318488,21.819365,1.886092,3.413521,3.010849,-0.538406,0.121105
0.020000,3.387434,21.827884,1.955562,3.473518,2.999865,-0.549171,0.124759
0.020000,3.457535,21.836806,2.026228,3.533291,2.988671,-0.559723,0.128412
0.020000,3.528783,21.846138,2.098085,3.592837,2.977270,-0.570054,0.132060
0.020000,3.601172,21.855889,2.171128,3.652150,2.965667,-0.580155,0.135699
0.020000,3.674696,21.866064,2.245352,3.711227,2.953866,-0.590021,0.139325
0.020000,3.749347,21.876670,2.320754,3.770065,2.941873,-0.599647,0.142934
0.020000,3.825120,21.887714,2.397327,3.828659,2.929693,-0.609034,0.146522
0.020000,3.902007,21.899202,2.475067,3.887005,2.917329,-0.618180,0.150085
0.020000,3.980001,21.911138,2.553969,3.945101,2.904787,-0.627090,0.153618
0.020000,4.059095,21.923527,2.634028,4.002943,2.892072,-0.635767,0.157116
0.020000,4.139283,21.936373,2.715238,4.060526,2.879188,-0.644220,0.160576
0.020000,4.220558,21.949681,2.797595,4.117849,2.866138,-0.652458,0.163994
0.020000,4.302913,21.963452,2.881094,4.174908,2.852929,-0.660494,0.167363
0.020000,4.386340,21.977690,2.965728,4.231699,2.839562,-0.668342,0.170681
0.020000,4.470835,21.992395,3.051492,4.288220,2.826041,-0.676021,0.173941
0.020000,4.556388,22.007571,3.138381,4.344467,2.812370,-0.683548,0.177140
0.020000,4.642995,22.023216,3.226390,4.400438,2.798551,-0.690946,0.180273
0.020000,4.730649,22.039330,3.315513,4.456130,2.784587,-0.698239,0.183335
0.020000,4.819343,22.055913,3.405743,4.511539,2.770478,-0.705453,0.186321
0.020000,4.909071,22.072964,3.497077,4.566664,2.756225,-0.712618,0.189226
0.020000,4.999826,22.090478,3.589507,4.621501,2.741830,-0.719760,0.192046
0.020000,5.091603,22.108455,3.683028,4.676046,2.727292,-0.726914,0.194775
0.020000,5.184396,22.126888,3.777634,4.730299,2.712610,-0.734111,0.197408
0.020000,5.278198,22.145775,3.873319,4.784254,2.697782,-0.741386,0.199940
0.020000,5.373005,22.165108,3.970077,4.837910,2.682806,-0.748774,0.202366
0.020000,5.468811,22.184882,4.067902,4.891264,2.667680,-0.756311,0.204681
0.020000,5.565611,22.205089,4.166788,4.944312,2.652400,-0.764034,0.206880
0.020000,5.663399,22.225720,4.266729,4.997051,2.636960,-0.771977,0.208957
0.020000,5.762171,22.246767,4.367719,5.049478,2.621356,-0.780180,0.210907
0.020000,5.861923,22.268219,4.469751,5.101590,2.605583,-0.788676,0.212724
0.020000,5.962648,22.290065,4.572818,5.153383,2.589633,-0.797500,0.214404
0.020000,6.064345,22.312292,4.676915,5.204853,2.573499,-0.806686,0.215940
0.020000,6.167007,22.334888,4.782035,5.255996,2.557174,-0.816264,0.217327
0.020000,6.270632,22.357839,4.888172,5.306809,2.540649,-0.826264,0.218559
0.020000,6.375216,22.381128,4.995317,5.357287,2.523914,-0.836711,0.219630
0.020000,6.480756,22.404740,5.103466,5.407426,2.506962,-0.847627,0.220535
0.020000,6.587248,22.428656,5.212610,5.457222,2.489781,-0.859029,0.221268
0.020000,6.694689,22.452858,5.322744,5.506669,2.472363,-0.870931,0.221823
0.020000,6.803077,22.477326,5.433859,5.555763,2.454696,-0.883337,0.222193
0.020000,6.912409,22.502039,5.545949,5.604499,2.436771,-0.896249,0.222373
0.020000,7.022682,22.526974,5.659006,5.652870,2.418578,-0.909658,0.222356
0.020000,7.133895,22.552108,5.773024,5.700872,2.400107,-0.923547,0.222137
0.020000,7.246045,22.577415,5.887994,5.748499,2.381349,-0.937887,0.221707
0.020000,7.359130,22.602870,6.003909,5.795745,2.362296,-0.952640,0.221062
0.020000,7.473150,22.628444,6.120761,5.842604,2.342941,-0.967755,0.220194
0.020000,7.588101,22.654109,6.238542,5.889070,2.323278,-0.983164,0.219097
0.020000,7.703982,22.679834,6.357245,5.935136,2.303302,-0.998785,0.217763
0.020000,7.820793,22.705586,6.476861,5.980796,2.283012,-1.014516,0.216186
0.020000,7.938532,22.731334,6.597382,6.026044,2.262407,-1.030237,0.214359
0.020000,8.057197,22.757041,6.718799,6.070874,2.241491,-1.045803,0.212274
0.020000,8.176787,22.782670,6.841105,6.115279,2.220270,-1.061047,0.209925
0.020000,8.297300,22.808185,6.964290,6.159254,2.198755,-1.075773,0.207303
0.020000,8.418737,22.833545,7.088346,6.202794,2.176960,-1.089755,0.204402
0.020000,8.541094,22.858709,7.213264,6.245892,2.154905,-1.102735,0.201214
0.020000,8.664370,22.883633,7.339034,6.288544,2.132616,-1.114420,0.197730
0.020000,8.788564,22.908274,7.465649,6.330747,2.110127,-1.124477,0.193944
0.020000,8.913674,22.932584,7.593099,6.372496,2.087476,-1.132535,0.189848
0.020000,9.039698,22.956516,7.721375,6.413790,2.064713,-1.138178,0.185433
0.020000,9.166633,22.980020,7.850468,6.454628,2.041894,-1.140941,0.180693
0.020000,9.294476,23.003043,7.980368,6.495010,2.019087,-1.140315,0.175619
0.020000,9.423225,23.025533,8.111067,6.534937,1.996373,-1.135739,0.170203
0.020000,9.552877,23.047435,8.242555,6.574414,1.973841,-1.126601,0.164437
0.020000,9.683240,23.068661,8.374635,6.603998,1.479174,-24.733348,0.158324
0.020000,9.813939,23.089100,8.506922,6.614376,0.518939,-48.011759,0.151875
0.020000,9.944600,23.108650,8.639038,6.605769,-0.430396,-47.466749,0.145107
0.020000,10.075037,23.127243,8.770793,6.587766,-0.900136,-23.486979,0.138031
0.020000,10.205249,23.144846,8.902190,6.569833,-0.896624,0.175616,0.130646
0.020000,10.335236,23.161420,9.033229,6.551989,-0.892193,0.221536,0.122955
0.020000,10.464997,23.176933,9.163915,6.534254,-0.886752,0.272046,0.114960
0.020000,10.594531,23.191350,9.294248,6.516650,-0.880208,0.327180,0.106662
0.020000,10.723834,23.204635,9.424232,6.499201,-0.872470,0.386929,0.098065
0.020000,10.852905,23.216758,9.553870,6.481932,-0.863445,0.451230,0.089172
0.020000,10.981740,23.227684,9.683168,6.464871,-0.853046,0.519967,0.079985
0.020000,11.110335,23.237382,9.812129,6.448047,-0.841187,0.592969,0.070510
0.020000,11.238688,23.245821,9.940758,6.431492,-0.827787,0.669985,0.060751
0.020000,11.366793,23.252971,10.069063,6.415236,-0.812773,0.750713,0.050712
0.020000,11.494647,23.258803,10.197049,6.399315,-0.796077,0.834766,0.040401
0.020000,11.622243,23.263288,10.324725,6.383762,-0.777643,0.921694,0.029822
0.020000,11.749577,23.266399,10.452097,6.368613,-0.757424,1.010955,0.018983
0.020000,11.876644,23.268110,10.579175,6.353906,-0.735385,1.101959,0.007892
0.020000,12.018878,23.268726,10.721410,7.111745,37.891994,1931.368966,0.009863
0.020000,12.194866,23.273218,10.897456,8.802305,84.527986,2331.799615,0.040810
0.020000,12.367413,23.282731,11.070264,8.640413,-8.094630,-4631.130828,0.068976
0.020000,12.536445,23.296601,11.239865,8.480018,-8.019744,3.744308,0.094388
0.020000,12.701964,23.314200,11.406317,8.322603,-7.870757,7.449368,0.117097
0.020000,12.864023,23.334946,11.569699,8.169097,-7.675296,9.773041,0.137170
0.020000,13.022714,23.358298,11.730098,8.019971,-7.456270,10.951266,0.154682
0.020000,13.178148,23.383762,11.887605,7.875333,-7.231913,11.217887,0.169710
0.020000,13.330453,23.410879,12.042305,7.735008,-7.016237,10.783762,0.182329
0.020000,13.479758,23.439228,12.194277,7.598614,-6.819692,9.827257,0.192606
0.020000,13.626189,23.468421,12.343590,7.465617,-6.649844,8.492400,0.200600
0.020000,13.769865,23.498092,12.490297,7.335377,-6.512012,6.891629,0.206358
0.020000,13.910892,23.527903,12.634441,7.207181,-6.409798,5.110701,0.209915
