dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437592,22.864000,0.000199,0.019943,0.997151,49.857550,0.000007
0.020000,1.438390,22.864000,0.000997,0.059829,1.994302,49.857550,0.000072
0.020000,1.440184,22.864000,0.002792,0.119658,2.991453,49.857550,0.000218
0.020000,1.443176,22.864001,0.005783,0.179487,2.991453,0.000000,0.000461
0.020000,1.447364,22.864004,0.009972,0.239316,2.991453,-0.000000,0.000801
0.020000,1.452749,22.864009,0.015356,0.299145,2.991453,0.000000,0.001238
0.020000,1.459330,22.864019,0.021937,0.358974,2.991453,0.000000,0.001772
0.020000,1.467107,22.864036,0.029715,0.418803,2.991453,-0.000000,0.002402
0.020000,1.476082,22.864060,0.038689,0.478632,2.991453,0.000000,0.003128
0.020000,1.486253,22.864096,0.048860,0.538462,2.991453,0.000000,0.003950
0.020000,1.497620,22.864147,0.060228,0.598291,2.991453,-0.000000,0.004866
0.020000,1.510184,22.864214,0.072792,0.658120,2.991453,0.000000,0.005878
0.020000,1.523944,22.864302,0.086553,0.717949,2.991453,0.000000,0.006983
0.020000,1.538901,22.864416,0.101510,0.777778,2.991453,-0.000000,0.008182
0.020000,1.555054,22.864559,0.117664,0.837607,2.991453,0.000000,0.009474
0.020000,1.572404,22.864735,0.135014,0.897436,2.991453,0.000000,0.010857
0.020000,1.590950,22.864950,0.153561,0.957265,2.991453,-0.000000,0.012332
0.020000,1.610692,22.865209,0.173305,1.017094,2.991453,0.000000,0.013897
0.020000,1.631630,22.865517,0.194245,1.076923,2.991453,-0.000000,0.015552
0.020000,1.653763,22.865881,0.216382,1.136752,2.991453,-0.000000,0.017295
0.020000,1.677093,22.866306,0.239715,1.196581,2.991453,0.000000,0.019126
0.020000,1.701618,22.866798,0.264245,1.256410,2.991453,0.000000,0.021043
0.020000,1.727338,22.867365,0.289972,1.316239,2.991453,-0.000000,0.023045
0.020000,1.754253,22.868014,0.316895,1.376068,2.991453,0.000000,0.025131
0.020000,1.782363,22.868751,0.345014,1.435897,2.991453,0.000000,0.027300
0.020000,1.811668,22.869584,0.374330,1.495726,2.991453,-0.000000,0.029550
0.020000,1.842166,22.870521,0.404843,1.555556,2.991453,0.000000,0.031879
0.020000,1.873858,22.871570,0.436553,1.615385,2.991453,0.000000,0.034287
0.020000,1.906743,22.872739,0.469459,1.675214,2.991453,0.000000,0.036771
0.020000,1.940821,22.874036,0.503561,1.735043,2.991453,-0.000000,0.039330
0.020000,1.976091,22.875471,0.538860,1.794872,2.991453,0.000000,0.041962
0.020000,2.012553,22.877051,0.575356,1.854701,2.991453,-0.000000,0.044666
0.020000,2.050205,22.878786,0.613048,1.914530,2.991453,0.000000,0.047439
0.020000,2.089047,22.880686,0.651937,1.974359,2.991453,0.000000,0.050279
0.020000,2.129079,22.882759,0.692023,2.034188,2.991453,0.000000,0.053185
0.020000,2.170300,22.885015,0.733305,2.094017,2.991453,-0.000000,0.056154
0.020000,2.212708,22.887463,0.775783,2.153846,2.991453,0.000000,0.059184
0.020000,2.256302,22.890114,0.819459,2.213675,2.991453,-0.000000,0.062273
0.020000,2.301083,22.892977,0.864330,2.273504,2.991453,0.000000,0.065417
0.020000,2.347048,22.896062,0.910399,2.333333,2.991453,0.000000,0.068616
0.020000,2.394196,22.899379,0.957664,2.393162,2.991453,0.000000,0.071866
0.020000,2.442527,22.902939,1.006125,2.452991,2.991453,0.000000,0.075164
0.020000,2.492038,22.906751,1.055783,2.512821,2.991453,-0.000000,0.078508
0.020000,2.542729,22.910825,1.106638,2.572650,2.991453,0.000000,0.081895
0.020000,2.594599,22.915172,1.158689,2.632479,2.991453,-0.000000,0.085323
0.020000,2.647645,22.919802,1.211937,2.692308,2.991453,0.000000,0.088787
0.020000,2.701866,22.924725,1.266382,2.752137,2.991453,0.000000,0.092285
0.020000,2.757261,22.929950,1.322023,2.811966,2.991453,-0.000000,0.095815
0.020000,2.813828,22.935489,1.378860,2.871795,2.991453,0.000000,0.099372
0.020000,2.871566,22.941350,1.436895,2.931624,2.991453,-0.000000,0.102953
0.020000,2.930472,22.947543,1.496125,2.991453,2.991453,0.000000,0.106556
0.020000,2.990545,22.954079,1.556553,3.051282,2.991453,0.000000,0.110176
0.020000,3.051783,22.960966,1.618177,3.111111,2.991453,0.000000,0.113810
0.020000,3.114183,22.968215,1.680997,3.170940,2.991453,0.000000,0.117454
0.020000,3.177746,22.975833,1.745014,3.230769,2.991453,-0.000000,0.121105
0.020000,3.242467,22.983830,1.810228,3.290598,2.991453,0.000000,0.124759
0.020000,3.308346,22.992214,1.876638,3.350427,2.991453,-0.000000,0.128412
0.020000,3.375380,23.000995,1.944245,3.410256,2.991453,0.000000,0.132060
0.020000,3.443568,23.010179,2.013048,3.470085,2.991453,0.000000,0.135699
0.020000,3.512907,23.019775,2.083048,3.529915,2.991453,-0.000000,0.139325
0.020000,3.583395,23.029790,2.154245,3.589744,2.991453,0.000000,0.142934
0.020000,3.655032,23.040231,2.226638,3.649573,2.991453,-0.000000,0.146522
0.020000,3.727814,23.051105,2.300228,3.709402,2.991453,0.000000,0.150085
0.020000,3.801739,23.062419,2.375014,3.769231,2.991453,0.000000,0.153618
0.020000,3.876807,23.074177,2.450997,3.829060,2.991453,0.000000,0.157116
0.020000,3.953014,23.086386,2.528177,3.888889,2.991453,0.000000,0.160576
0.020000,4.030360,23.099050,2.606553,3.948718,2.991453,-0.000000,0.163994
0.020000,4.108843,23.112174,2.686125,4.008547,2.991453,0.000000,0.167363
0.020000,4.188461,23.125761,2.766895,4.068376,2.991453,0.000000,0.170681
0.020000,4.269213,23.139816,2.848860,4.128205,2.991453,-0.000000,0.173941
0.020000,4.351098,23.154340,2.932023,4.188034,2.991453,0.000000,0.177140
0.020000,4.434113,23.169336,3.016382,4.247863,2.991453,0.000000,0.180273
0.020000,4.518258,23.184806,3.101937,4.307692,2.991453,0.000000,0.183335
0.020000,4.603533,23.200750,3.188689,4.367521,2.991453,-0.000000,0.186321
