dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437567,4.135000,0.000199,0.019943,0.997151,49.857550,0.000000
0.020000,1.438364,4.135000,0.000997,0.059829,1.994302,49.857550,0.000000
0.020000,1.440159,4.135000,0.002792,0.119658,2.991453,49.857550,0.000000
0.020000,1.443151,4.135000,0.005783,0.179487,2.991453,0.000000,0.000000
0.020000,1.447339,4.135000,0.009972,0.239316,2.991453,-0.000000,0.000000
0.020000,1.452723,4.135000,0.015356,0.299145,2.991453,0.000000,0.000000
0.020000,1.459304,4.135000,0.021937,0.358974,2.991453,0.000000,0.000000
0.020000,1.467082,4.135000,0.029715,0.418803,2.991453,-0.000000,0.000000
0.020000,1.476057,4.135000,0.038689,0.478632,2.991453,0.000000,0.000000
0.020000,1.486228,4.135000,0.048860,0.538462,2.991453,0.000000,0.000000
0.020000,1.497595,4.135000,0.060228,0.598291,2.991453,-0.000000,0.000000
0.020000,1.510159,4.135000,0.072792,0.658120,2.991453,0.000000,0.000000
0.020000,1.523920,4.135000,0.086553,0.717949,2.991453,0.000000,0.000000
0.020000,1.538877,4.135000,0.101510,0.777778,2.991453,-0.000000,0.000000
0.020000,1.555031,4.135000,0.117664,0.837607,2.991453,0.000000,0.000000
0.020000,1.572381,4.135000,0.135014,0.897436,2.991453,0.000000,0.000000
0.020000,1.590928,4.135000,0.153561,0.957265,2.991453,-0.000000,0.000000
0.020000,1.610672,4.135000,0.173305,1.017094,2.991453,0.000000,0.000000
0.020000,1.631612,4.135000,0.194245,1.076923,2.991453,-0.000000,0.000000
0.020000,1.653749,4.135000,0.216382,1.136752,2.991453,-0.000000,0.000000
0.020000,1.677082,4.135000,0.239715,1.196581,2.991453,0.000000,0.000000
0.020000,1.701612,4.135000,0.264245,1.256410,2.991453,0.000000,0.000000
0.020000,1.727339,4.135000,0.289972,1.316239,2.991453,-0.000000,0.000000
0.020000,1.754262,4.135000,0.316895,1.376068,2.991453,0.000000,0.000000
0.020000,1.782381,4.135000,0.345014,1.435897,2.991453,0.000000,0.000000
