dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437497,5.300000,0.000199,0.019943,0.997151,49.857550,0.000003
0.020000,1.438343,5.300000,0.001046,0.042314,1.118574,6.071139,6.283119
0.020000,1.440319,5.300000,0.003021,0.098772,2.822853,85.213968,6.282964
0.020000,1.443611,5.299999,0.006313,0.164614,3.292120,23.463350,6.282706
0.020000,1.448220,5.299995,0.010922,0.230448,3.291722,-0.019892,6.282345
0.020000,1.454145,5.299989,0.016848,0.296272,3.291165,-0.027865,6.281880
0.020000,1.461387,5.299978,0.024089,0.362081,3.290448,-0.035856,6.281314
0.020000,1.469944,5.299959,0.032647,0.427872,3.289570,-0.043888,6.280644
0.020000,1.479817,5.299930,0.042520,0.493643,3.288532,-0.051918,6.279873
0.020000,1.491005,5.299888,0.053708,0.559389,3.287332,-0.060007,6.279000
0.020000,1.503507,5.299830,0.066210,0.625109,3.285969,-0.068121,6.278026
0.020000,1.517323,5.299751,0.080026,0.690798,3.284444,-0.076276,6.276952
0.020000,1.532451,5.299648,0.095155,0.756453,3.282754,-0.084488,6.275777
0.020000,1.548892,5.299515,0.111596,0.822071,3.280900,-0.092720,6.274503
0.020000,1.566644,5.299349,0.129349,0.887648,3.278879,-0.101034,6.273131
0.020000,1.585707,5.299143,0.148413,0.953182,3.276691,-0.109377,6.271660
0.020000,1.606079,5.298893,0.168786,1.018669,3.274336,-0.117782,6.270092
0.020000,1.627759,5.298591,0.190468,1.084105,3.271811,-0.126230,6.268428
0.020000,1.650746,5.298231,0.213458,1.149487,3.269116,-0.134738,6.266669
0.020000,1.675038,5.297807,0.237754,1.214812,3.266250,-0.143310,6.264815
0.020000,1.700635,5.297312,0.263356,1.280077,3.263212,-0.151903,6.262868
0.020000,1.727534,5.296738,0.290261,1.345277,3.260001,-0.160564,6.260829
0.020000,1.755735,5.296077,0.318469,1.410409,3.256615,-0.169265,6.258699
0.020000,1.785234,5.295322,0.347979,1.475470,3.253055,-0.178007,6.256479
0.020000,1.816032,5.294464,0.378788,1.540456,3.249320,-0.186786,6.254170
0.020000,1.848124,5.293494,0.410895,1.605365,3.245408,-0.195577,6.251775
0.020000,1.881510,5.292403,0.444299,1.670191,3.241320,-0.204420,6.249293
0.020000,1.916187,5.291183,0.478998,1.734932,3.237054,-0.213264,6.246727
0.020000,1.952153,5.289824,0.514989,1.799584,3.232612,-0.222105,6.244079
0.020000,1.989406,5.288315,0.552272,1.864144,3.227993,-0.230964,6.241349
0.020000,2.027942,5.286648,0.590844,1.928608,3.223197,-0.239811,6.238539
0.020000,2.067759,5.284811,0.630704,1.992973,3.218225,-0.248609,6.235652
0.020000,2.108854,5.282795,0.671849,2.057234,3.213076,-0.257414,6.232688
0.020000,2.151225,5.280589,0.714276,2.121389,3.207753,-0.266146,6.229651
0.020000,2.194867,5.278182,0.757985,2.185434,3.202256,-0.274846,6.226541
0.020000,2.239778,5.275564,0.802972,2.249366,3.196588,-0.283441,6.223360
0.020000,2.285954,5.272723,0.849236,2.313181,3.190748,-0.291987,6.220111
0.020000,2.333392,5.269648,0.896774,2.376876,3.184739,-0.300422,6.216796
0.020000,2.382088,5.266327,0.945582,2.440447,3.178565,-0.308746,6.213416
0.020000,2.432038,5.262750,0.995660,2.503892,3.172226,-0.316944,6.209975
0.020000,2.483238,5.258905,1.047004,2.567206,3.165726,-0.325003,6.206473
0.020000,2.535684,5.254780,1.099612,2.630387,3.159067,-0.332927,6.202914
0.020000,2.589371,5.250363,1.153481,2.693433,3.152255,-0.340625,6.199300
0.020000,2.644295,5.245643,1.208608,2.756338,3.145291,-0.348192,6.195633
0.020000,2.700452,5.240609,1.264990,2.819102,3.138179,-0.355568,6.191916
0.020000,2.757837,5.235248,1.322624,2.881720,3.130926,-0.362655,6.188150
0.020000,2.816444,5.229548,1.381508,2.944191,3.123534,-0.369614,6.184340
0.020000,2.876269,5.223499,1.441638,3.006511,3.116009,-0.376250,6.180486
0.020000,2.937307,5.217088,1.503012,3.068678,3.108355,-0.382683,6.176593
0.020000,2.999552,5.210304,1.565625,3.130690,3.100579,-0.388837,6.172662
0.020000,3.062999,5.203135,1.629476,3.192544,3.092685,-0.394687,6.168696
0.020000,3.127643,5.195570,1.694561,3.254237,3.084679,-0.400316,6.164698
0.020000,3.193478,5.187598,1.760876,3.315769,3.076567,-0.405566,6.160671
0.020000,3.260497,5.179208,1.828419,3.377136,3.068356,-0.410567,6.156618
0.020000,3.328696,5.170388,1.897186,3.438337,3.060051,-0.415245,6.152541
