dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437503,2.970000,0.000199,0.019943,0.997151,49.857550,0.000003
0.020000,1.438189,2.970000,0.000885,0.034288,0.717254,-13.994839,6.283119
0.020000,1.439803,2.970000,0.002500,0.080716,2.321376,80.206085,6.282964
0.020000,1.442494,2.969999,0.005190,0.134531,2.690786,18.470493,6.282706
0.020000,1.446261,2.969996,0.008957,0.188355,2.691184,0.019888,6.282345
0.020000,1.451105,2.969991,0.013801,0.242190,2.691741,0.027865,6.281880
0.020000,1.457026,2.969982,0.019722,0.296039,2.692458,0.035861,6.281314
0.020000,1.464024,2.969966,0.026720,0.349906,2.693335,0.043867,6.280644
0.020000,1.472099,2.969943,0.034796,0.403793,2.694374,0.051926,6.279873
0.020000,1.481254,2.969908,0.043950,0.457705,2.695574,0.059996,6.279000
0.020000,1.491486,2.969861,0.054183,0.511643,2.696936,0.068115,6.278026
0.020000,1.502798,2.969796,0.065495,0.565613,2.698462,0.076274,6.276952
0.020000,1.515190,2.969712,0.077887,0.619616,2.700151,0.084467,6.275777
0.020000,1.528663,2.969603,0.091360,0.673656,2.702006,0.092729,6.274503
0.020000,1.543217,2.969467,0.105915,0.727736,2.704026,0.101014,6.273131
0.020000,1.558853,2.969298,0.121552,0.781861,2.706213,0.109369,6.271660
0.020000,1.575573,2.969092,0.138273,0.836032,2.708569,0.117767,6.270092
0.020000,1.593376,2.968844,0.156078,0.890254,2.711093,0.126227,6.268428
0.020000,1.612264,2.968549,0.174969,0.944530,2.713788,0.134733,6.266669
0.020000,1.632239,2.968200,0.194946,0.998863,2.716653,0.143280,6.264815
0.020000,1.653300,2.967793,0.216011,1.053256,2.719691,0.151901,6.262868
0.020000,1.675449,2.967320,0.238165,1.107714,2.722902,0.160553,6.260829
0.020000,1.698687,2.966776,0.261410,1.162240,2.726287,0.169253,6.258699
0.020000,1.723016,2.966153,0.285747,1.216837,2.729847,0.177992,6.256479
0.020000,1.748437,2.965445,0.311177,1.271509,2.733583,0.186765,6.254170
0.020000,1.774950,2.964643,0.337702,1.326259,2.737494,0.195582,6.251775
0.020000,1.802557,2.963742,0.365324,1.381090,2.741582,0.204398,6.249293
0.020000,1.831259,2.962732,0.394044,1.436007,2.745847,0.213243,6.246727
0.020000,1.861058,2.961605,0.423864,1.491013,2.750289,0.222105,6.244079
0.020000,1.891955,2.960354,0.454787,1.546111,2.754908,0.230949,6.241349
0.020000,1.923951,2.958969,0.486813,1.601305,2.759704,0.239784,6.238539
0.020000,1.957048,2.957443,0.519945,1.656599,2.764676,0.248620,6.235652
0.020000,1.991247,2.955765,0.554185,1.711995,2.769824,0.257391,6.232688
0.020000,2.026549,2.953927,0.589535,1.767498,2.775147,0.266142,6.229651
0.020000,2.062956,2.951919,0.625997,1.823111,2.780643,0.274816,6.226541
0.020000,2.100469,2.949732,0.663574,1.878837,2.786312,0.283450,6.223360
0.020000,2.139089,2.947356,0.702267,1.934680,2.792152,0.291973,6.220111
0.020000,2.178819,2.944781,0.742080,1.990644,2.798160,0.300411,6.216796
0.020000,2.219659,2.941996,0.783015,2.046730,2.804335,0.308738,6.213416
0.020000,2.261610,2.938992,0.825074,2.102944,2.810673,0.316940,6.209975
0.020000,2.304675,2.935757,0.868259,2.159287,2.817173,0.325001,6.206473
0.020000,2.348853,2.932282,0.912575,2.215764,2.823831,0.332890,6.202914
0.020000,2.394148,2.928556,0.958022,2.272377,2.830644,0.340655,6.199300
0.020000,2.440559,2.924568,1.004605,2.329129,2.837608,0.348192,6.195633
0.020000,2.488089,2.920307,1.052325,2.386023,2.844719,0.355523,6.191916
