dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.437500,4.135000,0.000199,0.019943,0.997151,49.857550,0.000003
0.020000,1.438266,4.135000,0.000997,0.059829,1.994302,49.857550,6.283119
0.020000,1.440061,4.135000,0.002792,0.119658,2.991453,49.857550,6.282964
0.020000,1.443052,4.134999,0.005783,0.179487,2.991453,0.000000,6.282706
0.020000,1.447240,4.134996,0.009972,0.239316,2.991453,-0.000000,6.282345
0.020000,1.452625,4.134990,0.015356,0.299145,2.991453,0.000000,6.281880
0.020000,1.459206,4.134980,0.021937,0.358974,2.991453,0.000000,6.281314
0.020000,1.466984,4.134963,0.029715,0.418803,2.991453,-0.000000,6.280644
0.020000,1.475958,4.134936,0.038689,0.478632,2.991453,0.000000,6.279873
0.020000,1.486129,4.134898,0.048860,0.538462,2.991453,0.000000,6.279000
0.020000,1.497497,4.134845,0.060228,0.598291,2.991453,-0.000000,6.278026
0.020000,1.510060,4.134773,0.072792,0.658120,2.991453,0.000000,6.276952
0.020000,1.523821,4.134680,0.086553,0.717949,2.991453,0.000000,6.275777
0.020000,1.538778,4.134559,0.101510,0.777778,2.991453,-0.000000,6.274503
0.020000,1.554931,4.134408,0.117664,0.837607,2.991453,0.000000,6.273131
0.020000,1.572280,4.134221,0.135014,0.897436,2.991453,0.000000,6.271660
0.020000,1.590826,4.133992,0.153561,0.957265,2.991453,-0.000000,6.270092
0.020000,1.610567,4.133717,0.173305,1.017094,2.991453,0.000000,6.268428
0.020000,1.631505,4.133390,0.194245,1.076923,2.991453,-0.000000,6.266669
0.020000,1.653638,4.133004,0.216382,1.136752,2.991453,-0.000000,6.264815
0.020000,1.676967,4.132553,0.239715,1.196581,2.991453,0.000000,6.262868
0.020000,1.701492,4.132029,0.264245,1.256410,2.991453,0.000000,6.260829
0.020000,1.727211,4.131427,0.289972,1.316239,2.991453,-0.000000,6.258699
0.020000,1.754125,4.130738,0.316895,1.376068,2.991453,0.000000,6.256479
0.020000,1.782234,4.129954,0.345014,1.435897,2.991453,0.000000,6.254170
0.020000,1.811537,4.129069,0.374330,1.495726,2.991453,-0.000000,6.251775
0.020000,1.842034,4.128073,0.404843,1.555556,2.991453,0.000000,6.249293
0.020000,1.873723,4.126957,0.436553,1.615385,2.991453,0.000000,6.246727
0.020000,1.906606,4.125714,0.469459,1.675214,2.991453,0.000000,6.244079
0.020000,1.940680,4.124334,0.503561,1.735043,2.991453,-0.000000,6.241349
0.020000,1.975947,4.122809,0.538860,1.794872,2.991453,0.000000,6.238539
0.020000,2.012403,4.121127,0.575356,1.854701,2.991453,-0.000000,6.235652
0.020000,2.050051,4.119280,0.613048,1.914530,2.991453,0.000000,6.232688
0.020000,2.088887,4.117258,0.651937,1.974359,2.991453,0.000000,6.229651
0.020000,2.128911,4.115051,0.692023,2.034188,2.991453,0.000000,6.226541
0.020000,2.170123,4.112648,0.733305,2.094017,2.991453,-0.000000,6.223360
0.020000,2.212522,4.110039,0.775783,2.153846,2.991453,0.000000,6.220111
0.020000,2.256106,4.107214,0.819459,2.213675,2.991453,-0.000000,6.216796
0.020000,2.300873,4.104162,0.864330,2.273504,2.991453,0.000000,6.213416
0.020000,2.346824,4.100871,0.910399,2.333333,2.991453,0.000000,6.209975
0.020000,2.393956,4.097331,0.957664,2.393162,2.991453,0.000000,6.206473
0.020000,2.442269,4.093531,1.006125,2.452991,2.991453,0.000000,6.202914
0.020000,2.491760,4.089460,1.055783,2.512821,2.991453,-0.000000,6.199300
0.020000,2.542427,4.085106,1.106638,2.572650,2.991453,0.000000,6.195633
0.020000,2.594271,4.080458,1.158689,2.632479,2.991453,-0.000000,6.191916
0.020000,2.647288,4.075505,1.211937,2.692308,2.991453,0.000000,6.188150
0.020000,2.701477,4.070235,1.266382,2.752137,2.991453,0.000000,6.184340
0.020000,2.756835,4.064637,1.322023,2.811966,2.991453,-0.000000,6.180486
0.020000,2.813362,4.058700,1.378860,2.871795,2.991453,0.000000,6.176593
0.020000,2.871054,4.052412,1.436895,2.931624,2.991453,-0.000000,6.172662
0.020000,2.929911,4.045762,1.496125,2.991453,2.991453,0.000000,6.168696
0.020000,2.989928,4.038738,1.556553,3.051282,2.991453,0.000000,6.164698
0.020000,3.051105,4.031330,1.618177,3.111111,2.991453,0.000000,6.160671
0.020000,3.113439,4.023527,1.680997,3.170940,2.991453,0.000000,6.156618
0.020000,3.176928,4.015316,1.745014,3.230769,2.991453,-0.000000,6.152541
0.020000,3.241568,4.006688,1.810228,3.290598,2.991453,0.000000,6.148443
0.020000,3.307358,3.997631,1.876638,3.350427,2.991453,-0.000000,6.144328
0.020000,3.374294,3.988135,1.944245,3.410256,2.991453,0.000000,6.140197
0.020000,3.442375,3.978189,2.013048,3.470085,2.991453,0.000000,6.136055
0.020000,3.511597,3.967783,2.083048,3.529915,2.991453,-0.000000,6.131904
0.020000,3.581958,3.956906,2.154245,3.589744,2.991453,0.000000,6.127747
0.020000,3.653455,3.945550,2.226638,3.649573,2.991453,-0.000000,6.123588
0.020000,3.726085,3.933703,2.300228,3.709402,2.991453,0.000000,6.119428
0.020000,3.799845,3.921357,2.375014,3.769231,2.991453,0.000000,6.115271
0.020000,3.874732,3.908503,2.450997,3.829060,2.991453,0.000000,6.111121
0.020000,3.950744,3.895131,2.528177,3.888889,2.991453,0.000000,6.106980
0.020000,4.027878,3.881232,2.606553,3.948718,2.991453,-0.000000,6.102852
0.020000,4.106131,3.866799,2.686125,4.008547,2.991453,0.000000,6.098739
0.020000,4.185500,3.851822,2.766895,4.068376,2.991453,0.000000,6.094644
0.020000,4.265981,3.836295,2.848860,4.128205,2.991453,-0.000000,6.090571
0.020000,4.347573,3.820210,2.932023,4.188034,2.991453,0.000000,6.086523
0.020000,4.430272,3.803560,3.016382,4.247863,2.991453,0.000000,6.082502
0.020000,4.514077,3.786337,3.101937,4.307692,2.991453,0.000000,6.078512
0.020000,4.598983,3.768536,3.188689,4.367521,2.991453,-0.000000,6.074556
0.020000,4.684988,3.750151,3.276638,4.427350,2.991453,0.000000,6.070637
0.020000,4.772091,3.731176,3.365783,4.487179,2.991453,0.000000,6.066757
0.020000,4.860287,3.711606,3.456125,4.547009,2.991453,0.000000,6.062921
0.020000,4.949576,3.691436,3.547664,4.606838,2.991453,0.000000,6.059131
0.020000,5.039954,3.670662,3.640399,4.666667,2.991453,0.000000,6.055390
0.020000,5.131420,3.649280,3.734330,4.726496,2.991453,0.000000,6.051701
0.020000,5.223970,3.627286,3.829459,4.786325,2.991453,0.000000,6.048067
0.020000,5.317605,3.604679,3.925783,4.846154,2.991453,0.000000,6.044491
0.020000,5.412320,3.581454,4.023305,4.905983,2.991453,-0.000000,6.040976
0.020000,5.508115,3.557610,4.122023,4.965812,2.991453,0.000000,6.037525
0.020000,5.604988,3.533147,4.221937,5.025641,2.991453,0.000000,6.034141
0.020000,5.702938,3.508062,4.323048,5.085470,2.991453,0.000000,6.030827
0.020000,5.801964,3.482355,4.425356,5.145299,2.991453,0.000000,6.027587
0.020000,5.902064,3.456028,4.528860,5.205128,2.991453,-0.000000,6.024422
0.020000,6.003237,3.429079,4.633561,5.264957,2.991453,0.000000,6.021336
0.020000,6.105483,3.401511,4.739459,5.324786,2.991453,0.000000,6.018332
0.020000,6.208801,3.373325,4.846553,5.384615,2.991453,0.000000,6.015413
0.020000,6.313192,3.344525,4.954843,5.444444,2.991453,0.000000,6.012582
0.020000,6.418654,3.315112,5.064330,5.504274,2.991453,-0.000000,6.009841
0.020000,6.525189,3.285090,5.175014,5.564103,2.991453,0.000000,6.007195
0.020000,6.632796,3.254464,5.286895,5.623932,2.991453,0.000000,6.004646
0.020000,6.741476,3.223239,5.399972,5.683761,2.991453,0.000000,6.002196
0.020000,6.851230,3.191421,5.514245,5.743590,2.991453,0.000000,5.999849
0.020000,6.962060,3.159015,5.629715,5.803419,2.991453,-0.000000,5.997609
0.020000,7.073966,3.126028,5.746382,5.863248,2.991453,0.000000,5.995478
